VARIABLES="Nnode"  "h"   "CL"     "CD"
ZONE T="EPIC VMSDBR2 P1 MOESS_scatter"
19666.0 0.03704770601381338 0.4492109547 0.053373951052 
19631.0 0.03706971032441861 0.4484930614 0.053196878791 
19614.0 0.037080417015163555 0.44893187651 0.053152871566 
19623.0 0.03707474722654075 0.44839900179 0.053045336581 
19550.0 0.03712083580059364 0.44823264466 0.053027176487 
19520.0 0.03713984288829825 0.44832477204 0.05291573642 
19669.0 0.03704582235985377 0.44814625896 0.052824403621 
19631.0 0.03706971032441861 0.44883928407 0.052848514813 
19640.0 0.03706404707989532 0.44830802033 0.052818682787 
19675.0 0.03704205620089326 0.44922541181 0.052771326399 
36915.0 0.03003302256617175 0.45912072233 0.051707083124 
36568.0 0.03012771982285798 0.45942130818 0.051546577835 
36638.0 0.030108520404057166 0.46008457198 0.051439093157 
36748.0 0.030078448496670362 0.45992166498 0.051368128445 
36549.0 0.030132939550832814 0.4604758929 0.051363419496 
36715.0 0.030087457453628598 0.46054939339 0.051324688024 
36567.0 0.030127994455224065 0.46062112655 0.051349159986 
36506.0 0.03014476599029319 0.46004022615 0.051363355905 
36704.0 0.03009046283882689 0.45979481895 0.051312625627 
36809.0 0.03006182394081017 0.46026310084 0.051282066556 
72121.0 0.024024042457676285 0.46249743623 0.050215567116 
72091.0 0.024027374456229114 0.46273156167 0.050280638596 
72060.0 0.024030819464199802 0.46274489155 0.050236069989 
72086.0 0.02402792996906452 0.46313736681 0.050260894262 
72123.0 0.02402382039014788 0.46316762558 0.050245056778 
72090.0 0.024027485554686402 0.46303876389 0.050232305555 
72174.0 0.0240181604408464 0.46288076507 0.050231719342 
72061.0 0.024030708304068688 0.46286696565 0.050218681955 
72165.0 0.024019158867869535 0.4630121617 0.050285024514 
72285.0 0.02400586014060648 0.46303320628 0.050270879467 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
142506.0 0.01914501084303572 0.46277960858 0.049496445807 
280329.0 0.015279553287336841 0.46346967463 0.049119202482 
280188.0 0.015282115918763932 0.46333531563 0.049126049432 
280373.0 0.015278753952740202 0.46334727181 0.049109491261 
280438.0 0.015277573423537931 0.46338625406 0.049113323492 
280734.0 0.015272202085043976 0.46337187303 0.049130720165 
280574.0 0.015275104573032128 0.46343115485 0.049117604823 
280486.0 0.015276701882284652 0.46355422734 0.049096871637 
280461.0 0.015277155785203667 0.46357634054 0.049122813761 
280756.0 0.015271803165433763 0.46353942362 0.049100640246 
280383.0 0.015278572309112285 0.46343911967 0.049075923809 
556204.0 0.012159674906415488 0.46378851599 0.048874322626 
556525.0 0.012157336582984065 0.46383461594 0.048883177912 
556555.0 0.012157118139972528 0.46381995769 0.048872136898 
556774.0 0.01215552398146663 0.46379682343 0.048880030677 
555524.0 0.01216463431258393 0.46376954768 0.048870394493 
555436.0 0.012165276709602104 0.4639615705 0.048872997374 
555906.0 0.012161847297567138 0.46393486736 0.048886670968 
558326.0 0.012144250471886758 0.4639451764 0.049157345209 
558924.0 0.012139917829572458 0.46385654837 0.049061996 
561288.0 0.012122850447121317 0.4638185465 0.04888234265 
826130.0 0.01065738206783907 0.46361956968 0.048844994004 
824638.0 0.01066380558700928 0.46361807435 0.048827865557 
825903.0 0.010658358374629452 0.46357117246 0.048792895832 
827917.0 0.010649708810555982 0.46358953375 0.048783185749 
829427.0 0.010643242165956237 0.4635704502 0.048787360864 
830647.0 0.010638028913440256 0.46353522054 0.048804310745 
838273.0 0.0106056715681444 0.4635046258 0.048781334093 
836376.0 0.010613683820757143 0.46370035746 0.048789072052 
836079.0 0.010614940436822233 0.46372946837 0.048776996157 
839594.0 0.01060010639962185 0.46380025767 0.04888536692 

ZONE T="SANS, MIT adapt"
19621.9 0.037075440014699076 0.448611128627 0.0529974878517 
36671.9 0.030099239969418382 0.460029282625 0.0514056198155 
72125.6 0.024023531714635643 0.46291107444299995 0.050247683757400005 
142506.0 0.01914501084303572 0.46277960858 0.04949644580700001 
280472.2 0.015276952430025753 0.463445065518 0.04911126411080001 
558170.8 0.012145375941612229 0.46385261698599994 0.0489241414807 
833020.7 0.010627914914250079 0.46362387302800007 0.0488073381973 
