# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 0.25
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_AdaptSlip3_X0320k.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
         1        1           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   1.00000000E-02   8.08303617E-01              12   5.51750055E-08   4.91345461E+00   4.91345461E+00
         2        2           1   0.00000000E+00   3.20550579E-01   0.00000000E+00   1.00000000E-02   1.00000000E+00              17   4.57376069E-08   2.88627817E+00   2.88331335E+00
         3        3           1   0.00000000E+00   7.89039632E-01   0.00000000E+00   1.00000000E-02   1.00000000E+00              12   9.46960260E-08   2.77686331E+00   2.79296041E+00
         4        4           1   0.00000000E+00   2.04933262E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              12   7.61007286E-08   2.56664937E+00   2.59372238E+00
         5        5           1   0.00000000E+00   5.25569174E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              14   8.04594327E-08   1.81572806E+00   1.82870030E+00
         6        6           1   0.00000000E+00   1.37734007E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              20   6.28625554E-08   8.90070904E-01   8.91037657E-01
         7        7           1   0.00000000E+00   3.56145989E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              35   6.75744027E-08   3.07161574E-01   3.06101552E-01
         8        8           1   0.00000000E+00   9.84729413E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              71   9.05474782E-08   1.20554009E-01   1.20499329E-01
         9        9           1   0.00000000E+00   1.96945883E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             100   9.02384654E-08   9.71782170E-02   9.73189785E-02
