# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 0.25
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_AdaptSlip3_X0040k.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
         1        1           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   1.00000000E-02   8.95342574E-01              13   4.51442883E-08   3.23324230E+00   3.23324230E+00
         2        2           1   0.00000000E+00   3.11725878E-01   0.00000000E+00   1.00000000E-02   1.00000000E+00              23   9.00841561E-08   1.81689558E+00   1.81839460E+00
         3        3           1   0.00000000E+00   1.08893836E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              13   5.73102700E-08   1.77151942E+00   1.78460415E+00
         4        4           1   0.00000000E+00   3.22785606E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              13   5.19639531E-08   1.47272972E+00   1.48812711E+00
         5        5           1   0.00000000E+00   8.13688004E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              17   7.72177756E-08   7.42987974E-01   7.46162002E-01
         6        6           1   0.00000000E+00   2.34410679E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              30   6.40641441E-08   2.62107433E-01   2.61748180E-01
         7        7           1   0.00000000E+00   6.63346155E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              55   7.67614117E-08   1.04179745E-01   1.03964424E-01
         8        8           1   0.00000000E+00   1.32669231E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00              77   8.56972153E-08   7.37590996E-02   7.36432535E-02
         9        9           1   0.00000000E+00   2.78012551E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             103   9.42903790E-08   3.97761818E-02   3.98802245E-02
