# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 0.25
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_AdaptSlip3_X0080k.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
        32       32           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             247   9.85228030E-08   2.89316306E-04   3.56429231E-05
        33       33           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             247   9.68673742E-08   2.88519958E-04   2.65751851E-05
        34       34           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   2.50000000E-03   0.00000000E+00              13   7.47414468E-08   2.88099836E-04   1.44594890E-04
        35       35           1   0.00000000E+00   1.00000000E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              20   4.62140365E-08   2.88099836E-04   1.44594890E-04
        36       36           1   0.00000000E+00   1.00000000E-02   0.00000000E+00   2.50000000E-03   8.00000000E-01              83   7.50732951E-08   2.88099836E-04   1.44594890E-04
        37       37           1   0.00000000E+00   1.90907275E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              60   7.17352923E-08   7.96986930E-04   7.52345404E-04
        38       38           1   0.00000000E+00   6.68822335E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              27   5.23017065E-08   2.00848144E-03   1.99194832E-03
        39       39           1   0.00000000E+00   3.05829665E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              14   4.82521543E-08   4.15512423E-03   4.15293570E-03
        40       40           1   0.00000000E+00   1.47190527E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              13   3.22351966E-08   8.19576127E-03   8.20949218E-03
        41       41           1   0.00000000E+00   7.34981990E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              16   4.16453904E-08   1.15624290E-02   1.15804826E-02
        42       42           1   0.00000000E+00   5.66295746E+01   0.00000000E+00   2.50000000E-03   1.00000000E+00              39   9.86872614E-08   9.42017079E-03   9.43024413E-03
