# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 20k
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_AdaptSlip3_X0020k.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
        32       32           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             136   8.79969756E-08   3.41594166E-04   2.80952090E-05
        33       33           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             135   8.86753736E-08   3.41363813E-04   2.54282724E-05
        34       34           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             134   9.21168167E-08   3.41150049E-04   2.28943772E-05
        35       35           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             133   9.73233281E-08   3.40971788E-04   2.07333227E-05
        36       36           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             133   8.86011679E-08   3.40809822E-04   1.86434187E-05
        37       37           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             132   9.59431632E-08   3.40674063E-04   1.68099685E-05
        38       38           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             132   8.90887491E-08   3.40560296E-04   1.52079144E-05
        39       39           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   2.50000000E-03   0.00000000E+00              13   7.48904393E-08   3.40464630E-04   1.70606819E-04
        40       40           1   0.00000000E+00   1.00000000E-01   0.00000000E+00   2.50000000E-03   2.00000000E-01              18   4.67885257E-08   3.40464630E-04   1.70606819E-04
        41       41           1   0.00000000E+00   9.26582064E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              18   6.18366148E-08   9.24568999E-04   8.74814714E-04
        42       42           1   0.00000000E+00   2.02489297E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              15   3.49069279E-08   4.50910490E-03   4.51055096E-03
        43       43           1   0.00000000E+00   9.76036008E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              12   7.91229695E-08   7.12813560E-03   7.14138856E-03
        44       44           1   0.00000000E+00   4.69308969E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              14   4.60905559E-08   9.78909770E-03   9.80809242E-03
        45       45           1   0.00000000E+00   3.45609279E+01   0.00000000E+00   2.50000000E-03   1.00000000E+00              27   7.05765665E-08   9.16808478E-03   9.18134426E-03
        46       46           1   0.00000000E+00   1.68263958E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00              61   9.42487305E-08   5.53082414E-03   5.53835843E-03
        47       47           1   0.00000000E+00   5.61553388E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00              98   9.36469907E-08   2.01761992E-03   2.01763471E-03
        48       48           1   0.00000000E+00   1.12310678E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             125   9.26835965E-08   6.15623852E-04   5.94940555E-04
        49       49           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             143   8.95858670E-08   3.03094493E-04   2.30999315E-04
        50       50           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             143   9.44417336E-08   2.34201293E-04   1.13027939E-04
        51       51           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             144   9.17105194E-08   2.14704329E-04   5.90876537E-05
        52       52           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             142   9.99566206E-08   2.09119456E-04   3.30297409E-05
        53       53           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             141   8.91898568E-08   2.07337441E-04   1.97604308E-05
        54       54           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             136   9.24263132E-08   2.06711902E-04   1.31292231E-05
        55       55           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.31836142E-08   2.06440985E-04   9.49467885E-06
        56       56           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             140   8.79433190E-08   2.06300124E-04   7.27356317E-06
        57       57           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.83111333E-08   2.06217598E-04   5.80229934E-06
        58       58           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             138   9.92558522E-08   2.06165697E-04   4.79273098E-06
        59       59           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             137   9.53338641E-08   2.06131764E-04   4.11640345E-06
        60       60           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             138   9.47381245E-08   2.06108095E-04   3.65096448E-06
        61       61           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             138   8.86576536E-08   2.06090611E-04   3.32454161E-06
        62       62           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             137   9.33272441E-08   2.06076835E-04   3.07905553E-06
        63       63           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             137   9.44000964E-08   2.06065668E-04   2.90315455E-06
        64       64           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             137   9.87826169E-08   2.06055873E-04   2.74803958E-06
        65       65           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             138   9.10596833E-08   2.06047061E-04   2.60420166E-06
        66       66           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             138   9.51601085E-08   2.06039115E-04   2.48195020E-06
        67       67           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             138   9.89104228E-08   2.06031771E-04   2.36491041E-06
        68       68           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.04353749E-08   2.06024832E-04   2.25464947E-06
        69       69           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.25018095E-08   2.06018373E-04   2.15060120E-06
        70       70           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.41071027E-08   2.06012262E-04   2.05202867E-06
        71       71           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.53482854E-08   2.06006496E-04   1.95815196E-06
        72       72           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.63083065E-08   2.06001043E-04   1.86932422E-06
        73       73           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.70797788E-08   2.05995865E-04   1.78436307E-06
        74       74           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.76414659E-08   2.05990966E-04   1.70437934E-06
        75       75           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.81731360E-08   2.05986297E-04   1.62683235E-06
        76       76           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.86287791E-08   2.05981867E-04   1.55287015E-06
        77       77           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.89997200E-08   2.05977669E-04   1.48282451E-06
        78       78           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             139   9.92922464E-08   2.05973661E-04   1.41637230E-06
        79       79           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00              13   5.89871240E-08   2.05969849E-04   2.05969849E-04
        80       80           1   0.00000000E+00   1.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              18   4.73624005E-08   2.05969849E-04   2.05969849E-04
        81       81           1   0.00000000E+00   1.00000000E-02   0.00000000E+00   0.00000000E+00   6.00000000E-01              34   5.62243176E-08   2.05969849E-04   2.05969849E-04
        82       82           1   0.00000000E+00   1.17132511E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              39   4.94466203E-08   1.75608738E-03   1.75608738E-03
        83       83           1   0.00000000E+00   3.02342167E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              24   8.91513756E-08   3.88794988E-03   3.88794988E-03
        84       84           1   0.00000000E+00   9.79233316E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              17   5.66355074E-08   5.98036783E-03   5.98036783E-03
        85       85           1   0.00000000E+00   3.53387732E-01   0.00000000E+00   0.00000000E+00   1.00000000E+00              13   4.06796595E-08   7.36058957E-03   7.36058957E-03
        86       86           1   0.00000000E+00   1.31919501E+00   0.00000000E+00   0.00000000E+00   1.00000000E+00              12   5.30662391E-08   1.10575987E-02   1.10575987E-02
        87       87           1   0.00000000E+00   5.65536492E+00   0.00000000E+00   0.00000000E+00   1.00000000E+00              14   8.78564949E-08   1.34183917E-02   1.34183917E-02
        88       88           1   0.00000000E+00   3.56053305E+01   0.00000000E+00   0.00000000E+00   1.00000000E+00              27   9.96795426E-08   1.20068442E-02   1.20068442E-02
        89       89           1   0.00000000E+00   1.34289788E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00              54   9.12886900E-08   7.94388878E-03   7.94388878E-03
        90       90           1   0.00000000E+00   3.40263883E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00              81   9.25660433E-08   3.66084030E-03   3.66084030E-03
        91       91           1   0.00000000E+00   6.80527767E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             111   9.41982921E-08   1.30860138E-03   1.30860138E-03
        92       92           1   0.00000000E+00   1.36105553E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             140   9.75720600E-08   5.18129377E-04   5.18129377E-04
        93       93           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             152   9.22210622E-08   3.10587205E-04   3.10587205E-04
        94       94           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             147   9.69476704E-08   1.91669697E-04   1.91669697E-04
        95       95           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             146   9.51568782E-08   1.27726623E-04   1.27726623E-04
        96       96           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             148   9.35859323E-08   8.98248050E-05   8.98248050E-05
        97       97           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   9.61664566E-08   6.54023042E-05   6.54023042E-05
        98       98           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             151   9.81729423E-08   4.94926885E-05   4.94926885E-05
        99       99           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             152   9.32023509E-08   3.91640967E-05   3.91640967E-05
       100      100           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             152   9.59311351E-08   3.22297504E-05   3.22297504E-05
       101      101           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             152   9.46943219E-08   2.76413016E-05   2.76413016E-05
       102      102           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             152   9.15138160E-08   2.42652866E-05   2.42652866E-05
       103      103           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             151   9.97881079E-08   2.16672294E-05   2.16672294E-05
       104      104           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             151   9.57339348E-08   1.93303410E-05   1.93303410E-05
       105      105           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             151   9.22761626E-08   1.71991134E-05   1.71991134E-05
       106      106           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             151   8.94552716E-08   1.53218875E-05   1.53218875E-05
       107      107           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   9.92877194E-08   1.35539496E-05   1.35539496E-05
       108      108           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   9.68545876E-08   1.19744987E-05   1.19744987E-05
       109      109           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   9.49942619E-08   1.05115400E-05   1.05115400E-05
       110      110           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   9.29974732E-08   9.23936997E-06   9.23936997E-06
       111      111           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   9.20195469E-08   8.01763681E-06   8.01763681E-06
       112      112           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   9.09354151E-08   6.96057077E-06   6.96057077E-06
       113      113           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   8.98716435E-08   6.03647165E-06   6.03647165E-06
       114      114           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   8.90136228E-08   5.21628900E-06   5.21628900E-06
       115      115           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             150   8.86143342E-08   4.47929802E-06   4.47929802E-06
       116      116           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.99621857E-08   3.85308419E-06   3.85308419E-06
       117      117           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.93230411E-08   3.31087769E-06   3.31087769E-06
       118      118           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.89011371E-08   2.83702751E-06   2.83702751E-06
       119      119           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.80413008E-08   2.44230511E-06   2.44230511E-06
       120      120           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.81260692E-08   2.07963989E-06   2.07963989E-06
       121      121           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.77042419E-08   1.78033508E-06   1.78033508E-06
       122      122           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.74370292E-08   1.52129287E-06   1.52129287E-06
       123      123           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.69976276E-08   1.30240123E-06   1.30240123E-06
       124      124           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.69062836E-08   1.11060468E-06   1.11060468E-06
       125      125           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.66786791E-08   9.48547867E-07   9.48547867E-07
       126      126           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.64917522E-08   8.09797506E-07   8.09797506E-07
       127      127           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.62583792E-08   6.91761970E-07   6.91761970E-07
       128      128           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.61053839E-08   5.90462977E-07   5.90462977E-07
       129      129           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.59190954E-08   5.04246766E-07   5.04246766E-07
       130      130           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.57620076E-08   4.30505701E-07   4.30505701E-07
       131      131           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.56809954E-08   3.67278014E-07   3.67278014E-07
       132      132           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.55237346E-08   3.13645831E-07   3.13645831E-07
       133      133           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.52500257E-08   2.68225027E-07   2.68225027E-07
       134      134           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.53785251E-08   2.28375777E-07   2.28375777E-07
       135      135           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.52959322E-08   1.94924272E-07   1.94924272E-07
       136      136           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.52389318E-08   1.66337739E-07   1.66337739E-07
       137      137           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.51757736E-08   1.41963854E-07   1.41963854E-07
       138      138           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.51244557E-08   1.21155609E-07   1.21155609E-07
       139      139           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.50791275E-08   1.03396088E-07   1.03396088E-07
       140      140           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.50391751E-08   8.82398540E-08   8.82398540E-08
       141      141           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.50066950E-08   7.53029275E-08   7.53029275E-08
       142      142           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.49756757E-08   6.42636375E-08   6.42636375E-08
       143      143           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.49506258E-08   5.48418077E-08   5.48418077E-08
       144      144           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.49359627E-08   4.67976622E-08   4.67976622E-08
       145      145           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             149   9.49099084E-08   3.99395468E-08   3.99395468E-08
