# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid b
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_Slip3_b1.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
        32       32           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             295   9.34119183E-08   3.39542364E-04   1.04383424E-04
        33       33           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             303   9.53605437E-08   3.33791260E-04   8.70355696E-05
        34       34           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             311   9.60163605E-08   3.29931071E-04   7.33444921E-05
        35       35           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             318   9.79474515E-08   3.27267250E-04   6.24137665E-05
        36       36           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             325   9.67259031E-08   3.25371797E-04   5.35667711E-05
        37       37           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             329   9.72679069E-08   3.23987271E-04   4.63452654E-05
        38       38           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             331   9.76517140E-08   3.22947427E-04   4.03751933E-05
        39       39           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             330   9.69930694E-08   3.22148419E-04   3.53894492E-05
        40       40           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             326   9.68223394E-08   3.21523111E-04   3.11743443E-05
        41       41           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             330   9.64367480E-08   3.21027290E-04   2.75783131E-05
        42       42           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   2.50000000E-03   0.00000000E+00              38   7.41040865E-08   3.20630282E-04   1.60307665E-04
        43       43           1   0.00000000E+00   1.00000000E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              32   6.53425783E-08   3.20630282E-04   1.60307665E-04
        44       44           1   0.00000000E+00   4.19594371E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              85   4.56710217E-08   3.72873472E-04   2.51385267E-04
        45       45           1   0.00000000E+00   4.19594371E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              18   7.53487268E-08   3.72873472E-04   2.51385267E-04
        46       46           1   0.00000000E+00   4.35314504E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              41   5.00057458E-08   4.16758697E-04   3.13962438E-04
        47       47           1   0.00000000E+00   4.35314504E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              18   8.68935614E-08   4.16758697E-04   3.13962438E-04
        48       48           1   0.00000000E+00   5.26707722E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              41   7.95189864E-08   4.66623925E-04   3.78746534E-04
        49       49           1   0.00000000E+00   5.26707722E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              20   5.07234800E-08   4.66623925E-04   3.78746534E-04
        50       50           1   0.00000000E+00   6.68583380E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00             124   8.27543911E-08   5.27634116E-04   4.52956099E-04
        51       51           1   0.00000000E+00   6.68583380E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              23   5.01919807E-08   5.27634116E-04   4.52956099E-04
        52       52           1   0.00000000E+00   8.59861261E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              36   4.66277691E-08   6.01668626E-04   5.38668171E-04
        53       53           1   0.00000000E+00   8.59861261E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              47   5.09713508E-08   6.01668626E-04   5.38668171E-04
        54       54           1   0.00000000E+00   1.09340289E+00   0.00000000E+00   2.50000000E-03   0.00000000E+00              27   6.49775221E-08   6.89243580E-04   6.36402740E-04
        55       55           1   0.00000000E+00   1.09340289E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              23   8.06896796E-08   6.89243580E-04   6.36402740E-04
        56       56           1   0.00000000E+00   9.70137397E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              30   5.04724962E-08   8.09153333E-04   7.66309316E-04
        57       57           1   0.00000000E+00   9.70137397E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              30   8.08534217E-08   8.09153333E-04   7.66309316E-04
        58       58           1   0.00000000E+00   5.09779366E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              79   5.58555604E-08   1.02347922E-03   9.92161543E-04
        59       59           1   0.00000000E+00   5.09779366E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              19   8.41780247E-08   1.02347922E-03   9.92161543E-04
        60       60           1   0.00000000E+00   3.03841650E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              95   5.54804242E-08   1.21072848E-03   1.18616055E-03
        61       61           1   0.00000000E+00   3.03841650E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              17   9.99666532E-08   1.21072848E-03   1.18616055E-03
        62       62           1   0.00000000E+00   2.12851659E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              42   6.73237385E-08   1.35274133E-03   1.33214069E-03
        63       63           1   0.00000000E+00   2.12851659E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              18   5.32858583E-08   1.35274133E-03   1.33214069E-03
        64       64           1   0.00000000E+00   1.67245300E-01   0.00000000E+00   2.50000000E-03   2.00000000E-01              60   6.97093319E-08   1.46758330E-03   1.44969843E-03
        65       65           1   0.00000000E+00   5.51835747E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              19   7.30370850E-08   4.47434173E-03   4.48672493E-03
        66       66           1   0.00000000E+00   1.59141800E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              42   9.86581984E-08   5.64575648E-03   5.66506361E-03
        67       67           1   0.00000000E+00   3.18283599E-01   0.00000000E+00   2.50000000E-03   0.00000000E+00              51   9.48816904E-08   1.48272782E-02   1.48930830E-02
        68       68           1   0.00000000E+00   3.18283599E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              16   8.47050078E-08   1.48272782E-02   1.48930830E-02
        69       69           1   0.00000000E+00   1.25249038E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              20   7.22986741E-08   1.59232868E-02   1.59940451E-02
        70       70           1   0.00000000E+00   2.50498076E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              48   7.73296284E-08   2.03599361E-02   2.04498532E-02
        71       71           1   0.00000000E+00   5.00996152E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              16   2.84695509E-08   4.85571648E-02   4.87867671E-02
        72       72           1   0.00000000E+00   1.00199230E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              16   5.15966554E-08   3.24473339E-02   3.25640651E-02
