# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 0.25
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_Slip3_c1.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
        32       32           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             567   9.91926880E-08   2.78172100E-04   1.18507687E-04
        33       33           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             582   9.79924339E-08   2.70824446E-04   1.08215452E-04
        34       34           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             599   9.83255741E-08   2.64704894E-04   9.89035192E-05
        35       35           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             616   9.87975710E-08   2.59617716E-04   9.05157984E-05
        36       36           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             628   9.96292639E-08   2.55386049E-04   8.29879751E-05
        37       37           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             645   9.92196645E-08   2.51855721E-04   7.62508407E-05
        38       38           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             665   9.90340731E-08   2.48905336E-04   7.02634886E-05
        39       39           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             687   9.91855669E-08   2.46426456E-04   6.49514536E-05
        40       40           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   0.00000000E+00             801   2.95707118E-07   2.44332478E-04   6.02471393E-05
        41       41           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00             182   9.19277686E-08   2.44332478E-04   6.02471393E-05
        42       42           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   0.00000000E+00             801   1.93292591E-07   2.44002996E-04   5.91730799E-05
        43       43           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00             182   9.66841093E-08   2.44002996E-04   5.91730799E-05
        44       44           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             724   9.83050686E-08   2.43808451E-04   5.87074710E-05
        45       45           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             762   9.97765961E-08   2.42220021E-04   5.52967265E-05
        46       46           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             774   9.81612616E-08   2.40743993E-04   5.16974033E-05
        47       47           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   0.00000000E+00             801   1.07781892E-07   2.39463227E-04   4.84821041E-05
        48       48           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              12   9.11552044E-08   2.39463227E-04   1.25049620E-04
        49       49           1   0.00000000E+00   1.21998887E+01   0.00000000E+00   2.50000000E-03   1.00000000E+00              28   6.38429017E-08   3.23794511E-04   2.60442728E-04
        50       50           1   0.00000000E+00   2.23319854E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             218   9.97013825E-08   3.10258765E-04   2.60504571E-04
        51       51           1   0.00000000E+00   1.18409487E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             644   9.73687742E-08   3.33228253E-04   2.75161463E-04
        52       52           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.69736464E-07   1.96159052E-04   1.40505879E-04
        53       53           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             216   9.25446081E-08   1.96159052E-04   1.40505879E-04
        54       54           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.68329855E-07   1.86084939E-04   1.34389250E-04
        55       55           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             215   9.81685792E-08   1.86084939E-04   1.34389250E-04
        56       56           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.64822757E-07   1.79666939E-04   1.26870245E-04
        57       57           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             215   9.41464108E-08   1.79666939E-04   1.26870245E-04
        58       58           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.73432711E-07   1.74914892E-04   1.19081077E-04
        59       59           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             215   9.30890261E-08   1.74914892E-04   1.19081077E-04
