# Nver  CD  CDp  CDf  CL  Pitch 
864032   1.057390e-01 9.484861e-02 1.089036e-02 8.276000e-01  4.552807e-02
5809227  6.377038e-02 5.195592e-02 1.181446e-02 1.053057e+00 -4.482980e-02
42924328 6.333931e-02 5.123741e-02 1.210190e-02 1.062226e+00 -5.294726e-02
