Title = "CFD++ Solutions for HLPW5 CRM Case 1"
#                                                        =====
VARIABLES = "Nnode", "Ncell", "CL", "CD", "CDp" "CDv" "CMy"
ZONE T = "CFD++, ANSA HRLES grids, SA-QCR2000-R_Crot_1.0"
5878234 7026482      9.3792219e-01 8.3687731e-02 7.2271050e-02 1.1416470e-02 -5.7434954e-03
13954750 16054267    1.0690397e+00 6.4290383e-02 5.2279588e-02 1.2010687e-02 -6.1230190e-02
37484161 42042799    1.0702855e+00 6.3932233e-02 5.1884606e-02 1.2047764e-02 -6.1589336e-02
73050931 80453473    1.0705335e+00 6.3762919e-02 5.1699517e-02 1.2063292e-02 -6.1328108e-02
187494151 202377840  1.0696938e+00 6.3520260e-02 5.1450688e-02 1.2069539e-02 -5.9947036e-02

