# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
1601 3.373991e-08 2.053326e-08 2.591459e-08 3.527945e-08 2.128607e-06 3.316500e-14
1602 3.067835e-08 2.012805e-08 2.565925e-08 3.444052e-08 1.932868e-06 3.030527e-14
1603 2.923131e-08 1.990415e-08 2.547544e-08 3.404794e-08 1.838391e-06 2.902215e-14
1604 2.796795e-08 1.966016e-08 2.522538e-08 3.359797e-08 1.756108e-06 2.790307e-14
1605 2.669123e-08 1.949563e-08 2.501916e-08 3.321119e-08 1.676370e-06 2.686805e-14
1606 2.577225e-08 1.936359e-08 2.477402e-08 3.286128e-08 1.619916e-06 2.600734e-14
1607 2.491580e-08 1.922269e-08 2.455501e-08 3.262112e-08 1.566259e-06 2.536820e-14
1608 2.423064e-08 1.912127e-08 2.441441e-08 3.240114e-08 1.523290e-06 2.487975e-14
1609 2.366502e-08 1.901682e-08 2.435779e-08 3.219212e-08 1.492152e-06 2.462234e-14
1610 2.348642e-08 1.893986e-08 2.429664e-08 3.196247e-08 1.478331e-06 2.454724e-14
1611 2.341595e-08 1.885389e-08 2.416269e-08 3.164028e-08 1.471708e-06 2.462517e-14
1612 2.330611e-08 1.875616e-08 2.406654e-08 3.139616e-08 1.467864e-06 2.473631e-14
1613 2.342309e-08 1.864911e-08 2.391779e-08 3.109700e-08 1.469891e-06 2.491066e-14
1614 2.346355e-08 1.856003e-08 2.379535e-08 3.079337e-08 1.476014e-06 2.525103e-14
1615 2.357157e-08 1.846058e-08 2.364572e-08 3.053274e-08 1.482459e-06 2.559279e-14
1616 2.371615e-08 1.835103e-08 2.354849e-08 3.033463e-08 1.489193e-06 2.594826e-14
1617 2.395060e-08 1.825036e-08 2.345497e-08 3.017204e-08 1.503776e-06 2.626751e-14
1618 2.414898e-08 1.816483e-08 2.342468e-08 2.997806e-08 1.518937e-06 2.665684e-14
1619 2.448144e-08 1.811099e-08 2.340358e-08 2.978593e-08 1.539162e-06 2.706027e-14
1620 2.477249e-08 1.804218e-08 2.338951e-08 2.959648e-08 1.556418e-06 2.750620e-14
1621 2.508698e-08 1.799076e-08 2.340645e-08 2.938343e-08 1.574425e-06 2.795495e-14
1622 2.527587e-08 1.795032e-08 2.335603e-08 2.914212e-08 1.588908e-06 2.835781e-14
1623 2.552575e-08 1.792700e-08 2.326897e-08 2.893907e-08 1.603839e-06 2.884358e-14
1624 2.581203e-08 1.792994e-08 2.322457e-08 2.879879e-08 1.620334e-06 2.931508e-14
1625 2.615315e-08 1.796812e-08 2.310169e-08 2.863009e-08 1.643605e-06 2.991567e-14
1626 2.651423e-08 1.804016e-08 2.301303e-08 2.847235e-08 1.665874e-06 3.048264e-14
1627 2.695010e-08 1.810253e-08 2.289728e-08 2.831955e-08 1.694132e-06 3.121636e-14
1628 2.743217e-08 1.816155e-08 2.277167e-08 2.824429e-08 1.724645e-06 3.189962e-14
1629 2.795187e-08 1.820199e-08 2.268595e-08 2.813630e-08 1.753065e-06 3.267454e-14
1630 2.849099e-08 1.825355e-08 2.260042e-08 2.805776e-08 1.789586e-06 3.351287e-14
1631 2.908712e-08 1.836220e-08 2.250192e-08 2.798508e-08 1.826307e-06 3.430654e-14
1632 2.970635e-08 1.846813e-08 2.243007e-08 2.783952e-08 1.864576e-06 3.508202e-14
1633 3.023872e-08 1.856830e-08 2.232659e-08 2.774281e-08 1.899659e-06 3.589097e-14
1634 3.081730e-08 1.868338e-08 2.226287e-08 2.766692e-08 1.932217e-06 3.667457e-14
1635 3.121723e-08 1.876208e-08 2.221549e-08 2.760919e-08 1.959678e-06 3.750663e-14
1636 3.167687e-08 1.890061e-08 2.218299e-08 2.758722e-08 1.985615e-06 3.829013e-14
1637 3.212381e-08 1.901430e-08 2.219685e-08 2.754800e-08 2.014262e-06 3.910619e-14
1638 3.254745e-08 1.911513e-08 2.226483e-08 2.752594e-08 2.040162e-06 3.993298e-14
1639 3.296238e-08 1.923115e-08 2.232507e-08 2.750081e-08 2.069771e-06 4.072075e-14
1640 3.339883e-08 1.937333e-08 2.233455e-08 2.736079e-08 2.094602e-06 4.153495e-14
1641 3.380199e-08 1.948361e-08 2.238938e-08 2.728518e-08 2.122143e-06 4.228504e-14
1642 3.422035e-08 1.962214e-08 2.241267e-08 2.720146e-08 2.146815e-06 4.305198e-14
1643 3.467251e-08 1.974056e-08 2.248304e-08 2.704703e-08 2.174856e-06 4.388734e-14
1644 3.513480e-08 1.989098e-08 2.252887e-08 2.694639e-08 2.201015e-06 4.468244e-14
1645 3.556745e-08 2.003433e-08 2.255907e-08 2.687182e-08 2.229339e-06 4.551241e-14
1646 3.608061e-08 2.016442e-08 2.262399e-08 2.683095e-08 2.259352e-06 4.641590e-14
