# Iterations  ResRho  ResRhoU  ResRhoV  ResRhoW  ResRhoE  ResTrb
VARIABLES=iterations ResRho  ResRhoU  ResRhoV  ResRhoW  ResRhoE  ResTrb
ZONE T="WOLF HM1"
1601 1.849089e-03 4.863710e-03 5.138420e-03 9.382029e-03 1.153979e-01 2.922156e-09
1602 1.699185e-03 4.813328e-03 5.120263e-03 9.485977e-03 1.059179e-01 2.813738e-09
1603 1.632124e-03 4.792557e-03 5.110030e-03 9.519271e-03 1.016788e-01 2.770803e-09
1604 1.571131e-03 4.774303e-03 5.097525e-03 9.536327e-03 9.782519e-02 2.733341e-09
1605 1.516809e-03 4.758283e-03 5.082053e-03 9.535087e-03 9.439596e-02 2.700412e-09
1606 1.469733e-03 4.744516e-03 5.062085e-03 9.513929e-03 9.142862e-02 2.670790e-09
1607 1.430252e-03 4.732504e-03 5.036593e-03 9.471799e-03 8.894515e-02 2.643470e-09
1608 1.398550e-03 4.722239e-03 5.005116e-03 9.407788e-03 8.695763e-02 2.617410e-09
1609 1.374521e-03 4.713830e-03 4.966881e-03 9.321249e-03 8.545953e-02 2.591814e-09
1610 1.357834e-03 4.707065e-03 4.921273e-03 9.213008e-03 8.442975e-02 2.566124e-09
1611 1.348082e-03 4.701813e-03 4.868292e-03 9.084601e-03 8.384196e-02 2.540536e-09
1612 1.344533e-03 4.697684e-03 4.807789e-03 8.936625e-03 8.364892e-02 2.515369e-09
1613 1.346180e-03 4.694675e-03 4.739931e-03 8.770766e-03 8.378631e-02 2.490976e-09
1614 1.352039e-03 4.692495e-03 4.664795e-03 8.588347e-03 8.419139e-02 2.467185e-09
1615 1.361067e-03 4.691148e-03 4.583075e-03 8.391541e-03 8.479713e-02 2.443497e-09
1616 1.372194e-03 4.690615e-03 4.495546e-03 8.182485e-03 8.553516e-02 2.420100e-09
1617 1.384468e-03 4.690813e-03 4.403036e-03 7.963807e-03 8.634441e-02 2.397243e-09
1618 1.396898e-03 4.691529e-03 4.306697e-03 7.738203e-03 8.716183e-02 2.374679e-09
1619 1.408715e-03 4.692655e-03 4.207573e-03 7.508995e-03 8.793838e-02 2.352493e-09
1620 1.419257e-03 4.694008e-03 4.106889e-03 7.279610e-03 8.863205e-02 2.330817e-09
1621 1.427896e-03 4.695562e-03 4.006148e-03 7.053115e-03 8.920326e-02 2.309560e-09
1622 1.434175e-03 4.697274e-03 3.906856e-03 6.832649e-03 8.962335e-02 2.288977e-09
1623 1.437824e-03 4.698959e-03 3.810189e-03 6.621176e-03 8.987543e-02 2.269318e-09
1624 1.438567e-03 4.700574e-03 3.717209e-03 6.422196e-03 8.994184e-02 2.250932e-09
1625 1.436210e-03 4.701934e-03 3.629010e-03 6.238244e-03 8.981036e-02 2.233947e-09
1626 1.430694e-03 4.702908e-03 3.546984e-03 6.071297e-03 8.947747e-02 2.218879e-09
1627 1.422049e-03 4.703484e-03 3.471862e-03 5.922975e-03 8.894525e-02 2.203515e-09
1628 1.410398e-03 4.703699e-03 3.404306e-03 5.794118e-03 8.822163e-02 2.189719e-09
1629 1.395946e-03 4.703417e-03 3.344627e-03 5.684295e-03 8.731969e-02 2.177965e-09
1630 1.378926e-03 4.702660e-03 3.292951e-03 5.592606e-03 8.625448e-02 2.168508e-09
1631 1.359651e-03 4.701484e-03 3.249061e-03 5.517760e-03 8.504564e-02 2.161330e-09
1632 1.338567e-03 4.699978e-03 3.212511e-03 5.457733e-03 8.372144e-02 2.156417e-09
1633 1.316126e-03 4.698103e-03 3.182548e-03 5.409620e-03 8.231033e-02 2.153929e-09
1634 1.292781e-03 4.695927e-03 3.158447e-03 5.370703e-03 8.084106e-02 2.154027e-09
1635 1.268975e-03 4.693485e-03 3.139098e-03 5.337690e-03 7.934160e-02 2.156715e-09
1636 1.245123e-03 4.690833e-03 3.123417e-03 5.307933e-03 7.783839e-02 2.162122e-09
1637 1.221569e-03 4.688074e-03 3.110399e-03 5.278659e-03 7.635333e-02 2.170233e-09
1638 1.198699e-03 4.685382e-03 3.099128e-03 5.247414e-03 7.491096e-02 2.180783e-09
1639 1.176997e-03 4.682901e-03 3.088652e-03 5.212519e-03 7.354203e-02 2.193632e-09
1640 1.156820e-03 4.680683e-03 3.078013e-03 5.172850e-03 7.226936e-02 2.208551e-09
1641 1.138267e-03 4.678811e-03 3.066148e-03 5.127427e-03 7.109953e-02 2.223842e-09
1642 1.121417e-03 4.677327e-03 3.052517e-03 5.075630e-03 7.003753e-02 2.240472e-09
1643 1.106352e-03 4.676165e-03 3.036933e-03 5.017603e-03 6.908869e-02 2.258573e-09
1644 1.092965e-03 4.675431e-03 3.018585e-03 4.953534e-03 6.824646e-02 2.277998e-09
1645 1.081108e-03 4.675283e-03 2.997256e-03 4.884254e-03 6.750140e-02 2.298590e-09
1646 1.070639e-03 4.675788e-03 2.972787e-03 4.810606e-03 6.684469e-02 2.320236e-09
1647 1.061448e-03 4.676942e-03 2.945118e-03 4.733956e-03 6.626942e-02 2.342801e-09
1648 1.053211e-03 4.678767e-03 2.914187e-03 4.655544e-03 6.575502e-02 2.366011e-09
1649 1.045727e-03 4.681347e-03 2.880381e-03 4.576521e-03 6.528870e-02 2.390054e-09
1650 1.038716e-03 4.684671e-03 2.843781e-03 4.498278e-03 6.485265e-02 2.414872e-09
1651 1.031961e-03 4.688761e-03 2.804807e-03 4.422034e-03 6.443316e-02 2.440274e-09
1652 1.025378e-03 4.693536e-03 2.763615e-03 4.348701e-03 6.402500e-02 2.466371e-09
1653 1.018812e-03 4.699070e-03 2.720797e-03 4.278950e-03 6.361823e-02 2.493480e-09
