# Iterations  CD  CDp  CDf  CL  CLp  CL  Pitch 
1601 1.334806e-01 1.241170e-01 9.363537e-03 4.345003e-01 4.346553e-01 -1.550034e-04 -5.350803e-02
1602 1.334753e-01 1.241119e-01 9.363461e-03 4.345008e-01 4.346558e-01 -1.550809e-04 -5.350491e-02
1603 1.334687e-01 1.241053e-01 9.363423e-03 4.344996e-01 4.346547e-01 -1.551207e-04 -5.350155e-02
1604 1.334607e-01 1.240974e-01 9.363385e-03 4.344966e-01 4.346517e-01 -1.551608e-04 -5.349796e-02
1605 1.334515e-01 1.240881e-01 9.363347e-03 4.344918e-01 4.346470e-01 -1.552011e-04 -5.349416e-02
1606 1.334410e-01 1.240777e-01 9.363309e-03 4.344851e-01 4.346403e-01 -1.552411e-04 -5.349018e-02
1607 1.334292e-01 1.240660e-01 9.363272e-03 4.344765e-01 4.346317e-01 -1.552806e-04 -5.348607e-02
1608 1.334164e-01 1.240531e-01 9.363236e-03 4.344659e-01 4.346213e-01 -1.553194e-04 -5.348183e-02
1609 1.334024e-01 1.240392e-01 9.363201e-03 4.344535e-01 4.346089e-01 -1.553573e-04 -5.347752e-02
1610 1.333873e-01 1.240241e-01 9.363166e-03 4.344392e-01 4.345946e-01 -1.553938e-04 -5.347315e-02
1611 1.333712e-01 1.240081e-01 9.363133e-03 4.344230e-01 4.345785e-01 -1.554290e-04 -5.346876e-02
1612 1.333542e-01 1.239911e-01 9.363100e-03 4.344051e-01 4.345605e-01 -1.554625e-04 -5.346438e-02
1613 1.333363e-01 1.239732e-01 9.363069e-03 4.343854e-01 4.345409e-01 -1.554944e-04 -5.346003e-02
1614 1.333175e-01 1.239544e-01 9.363038e-03 4.343639e-01 4.345195e-01 -1.555244e-04 -5.345573e-02
1615 1.332978e-01 1.239348e-01 9.363008e-03 4.343409e-01 4.344965e-01 -1.555527e-04 -5.345151e-02
1616 1.332774e-01 1.239144e-01 9.362979e-03 4.343163e-01 4.344719e-01 -1.555792e-04 -5.344740e-02
1617 1.332562e-01 1.238933e-01 9.362950e-03 4.342903e-01 4.344459e-01 -1.556039e-04 -5.344344e-02
1618 1.332342e-01 1.238713e-01 9.362922e-03 4.342630e-01 4.344186e-01 -1.556269e-04 -5.343966e-02
1619 1.332114e-01 1.238485e-01 9.362893e-03 4.342342e-01 4.343899e-01 -1.556488e-04 -5.343603e-02
1620 1.331877e-01 1.238249e-01 9.362865e-03 4.342042e-01 4.343599e-01 -1.556696e-04 -5.343255e-02
1621 1.331631e-01 1.238003e-01 9.362835e-03 4.341728e-01 4.343285e-01 -1.556899e-04 -5.342923e-02
1622 1.331375e-01 1.237747e-01 9.362804e-03 4.341402e-01 4.342959e-01 -1.557100e-04 -5.342605e-02
1623 1.331107e-01 1.237479e-01 9.362771e-03 4.341062e-01 4.342619e-01 -1.557304e-04 -5.342299e-02
1624 1.330825e-01 1.237198e-01 9.362736e-03 4.340707e-01 4.342265e-01 -1.557517e-04 -5.342003e-02
1625 1.330527e-01 1.236900e-01 9.362698e-03 4.340338e-01 4.341896e-01 -1.557744e-04 -5.341713e-02
1626 1.330210e-01 1.236583e-01 9.362655e-03 4.339952e-01 4.341510e-01 -1.557991e-04 -5.341425e-02
1627 1.329870e-01 1.236244e-01 9.362608e-03 4.339547e-01 4.341106e-01 -1.558264e-04 -5.341132e-02
1628 1.329504e-01 1.235878e-01 9.362556e-03 4.339122e-01 4.340681e-01 -1.558568e-04 -5.340829e-02
1629 1.329105e-01 1.235480e-01 9.362497e-03 4.338673e-01 4.340232e-01 -1.558912e-04 -5.340506e-02
1630 1.328668e-01 1.235044e-01 9.362431e-03 4.338198e-01 4.339757e-01 -1.559299e-04 -5.340153e-02
1631 1.328187e-01 1.234564e-01 9.362356e-03 4.337691e-01 4.339251e-01 -1.559736e-04 -5.339759e-02
1632 1.327654e-01 1.234031e-01 9.362272e-03 4.337150e-01 4.338711e-01 -1.560227e-04 -5.339312e-02
1633 1.327060e-01 1.233439e-01 9.362178e-03 4.336570e-01 4.338131e-01 -1.560777e-04 -5.338798e-02
1634 1.326397e-01 1.232776e-01 9.362073e-03 4.335945e-01 4.337506e-01 -1.561389e-04 -5.338200e-02
