# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
801 3.579621e-09 5.879301e-09 6.674225e-09 9.371102e-09 2.256433e-07 1.417185e-14
802 3.182091e-09 5.805545e-09 6.465174e-09 9.120806e-09 2.005920e-07 1.265886e-14
803 3.012094e-09 5.777359e-09 6.450842e-09 9.047001e-09 1.896818e-07 1.198229e-14
804 2.856081e-09 5.756807e-09 6.427656e-09 8.984468e-09 1.797898e-07 1.135685e-14
805 2.724459e-09 5.736834e-09 6.407495e-09 8.919317e-09 1.714809e-07 1.081867e-14
806 2.613774e-09 5.717311e-09 6.382449e-09 8.862293e-09 1.644058e-07 1.038146e-14
807 2.530392e-09 5.696605e-09 6.355934e-09 8.806931e-09 1.590841e-07 1.006772e-14
808 2.468930e-09 5.680543e-09 6.326406e-09 8.747421e-09 1.551566e-07 9.832688e-15
809 2.427297e-09 5.662698e-09 6.297259e-09 8.688054e-09 1.524734e-07 9.717474e-15
810 2.401854e-09 5.644461e-09 6.266081e-09 8.631817e-09 1.509465e-07 9.672778e-15
811 2.391826e-09 5.624109e-09 6.230352e-09 8.574450e-09 1.504396e-07 9.711733e-15
812 2.393893e-09 5.607246e-09 6.191665e-09 8.508132e-09 1.505114e-07 9.802305e-15
813 2.404668e-09 5.591523e-09 6.143958e-09 8.441772e-09 1.511693e-07 9.936746e-15
814 2.422044e-09 5.574313e-09 6.100971e-09 8.377726e-09 1.522027e-07 1.009448e-14
815 2.439217e-09 5.556280e-09 6.053051e-09 8.303886e-09 1.533138e-07 1.028327e-14
816 2.455983e-09 5.534879e-09 5.995162e-09 8.227735e-09 1.544592e-07 1.049224e-14
817 2.482437e-09 5.517917e-09 5.940010e-09 8.150327e-09 1.562969e-07 1.071877e-14
818 2.514314e-09 5.503787e-09 5.892976e-09 8.075913e-09 1.588530e-07 1.096187e-14
819 2.559690e-09 5.492683e-09 5.846246e-09 7.997480e-09 1.615961e-07 1.121624e-14
820 2.604586e-09 5.479341e-09 5.800393e-09 7.924168e-09 1.642678e-07 1.146687e-14
821 2.653298e-09 5.463350e-09 5.750643e-09 7.855119e-09 1.672720e-07 1.172380e-14
822 2.705613e-09 5.453756e-09 5.697824e-09 7.783008e-09 1.706216e-07 1.197081e-14
823 2.754577e-09 5.445814e-09 5.663125e-09 7.717676e-09 1.737058e-07 1.221163e-14
824 2.803312e-09 5.433313e-09 5.618264e-09 7.655533e-09 1.768527e-07 1.244909e-14
825 2.854531e-09 5.426513e-09 5.584173e-09 7.601125e-09 1.800099e-07 1.267687e-14
826 2.907616e-09 5.424863e-09 5.550023e-09 7.539156e-09 1.832298e-07 1.289960e-14
827 2.953666e-09 5.421327e-09 5.509665e-09 7.486840e-09 1.861521e-07 1.311339e-14
828 2.999504e-09 5.420287e-09 5.490858e-09 7.439873e-09 1.889152e-07 1.332085e-14
829 3.041769e-09 5.416598e-09 5.479976e-09 7.398057e-09 1.914637e-07 1.352436e-14
830 3.077570e-09 5.419385e-09 5.471113e-09 7.357266e-09 1.937260e-07 1.371827e-14
831 3.107859e-09 5.414426e-09 5.465267e-09 7.322609e-09 1.957133e-07 1.389899e-14
832 3.139714e-09 5.417484e-09 5.461486e-09 7.287930e-09 1.975527e-07 1.407974e-14
833 3.162049e-09 5.421872e-09 5.451726e-09 7.256008e-09 1.991027e-07 1.425089e-14
834 3.184058e-09 5.429080e-09 5.449451e-09 7.231816e-09 2.005154e-07 1.442893e-14
835 3.206704e-09 5.434039e-09 5.443869e-09 7.213247e-09 2.019811e-07 1.460530e-14
836 3.226310e-09 5.440643e-09 5.446315e-09 7.199921e-09 2.032122e-07 1.480315e-14
837 3.248473e-09 5.447000e-09 5.456082e-09 7.189222e-09 2.044604e-07 1.498643e-14
838 3.267099e-09 5.455793e-09 5.464206e-09 7.183853e-09 2.055161e-07 1.518044e-14
839 3.298439e-09 5.466394e-09 5.473677e-09 7.173030e-09 2.074760e-07 1.539663e-14
840 3.337197e-09 5.483242e-09 5.481362e-09 7.163819e-09 2.099458e-07 1.561315e-14
841 3.375203e-09 5.501487e-09 5.486890e-09 7.159750e-09 2.124237e-07 1.583967e-14
842 3.413442e-09 5.517755e-09 5.496765e-09 7.163504e-09 2.147442e-07 1.606636e-14
843 3.454797e-09 5.535477e-09 5.503233e-09 7.166079e-09 2.175405e-07 1.629627e-14
844 3.498706e-09 5.554217e-09 5.515017e-09 7.171384e-09 2.202918e-07 1.654563e-14
845 3.541431e-09 5.573501e-09 5.521806e-09 7.179779e-09 2.229812e-07 1.679405e-14
846 3.586355e-09 5.594300e-09 5.526897e-09 7.182669e-09 2.258068e-07 1.705470e-14
847 3.628913e-09 5.615366e-09 5.531560e-09 7.189693e-09 2.283827e-07 1.733109e-14
848 3.675312e-09 5.635160e-09 5.536160e-09 7.200607e-09 2.311960e-07 1.760773e-14
849 3.719074e-09 5.659049e-09 5.537398e-09 7.211444e-09 2.339167e-07 1.789481e-14
850 3.763249e-09 5.685524e-09 5.537081e-09 7.228346e-09 2.366610e-07 1.818448e-14
851 3.806015e-09 5.710953e-09 5.554279e-09 7.246711e-09 2.393007e-07 1.848411e-14
852 3.848130e-09 5.736187e-09 5.576382e-09 7.262553e-09 2.420281e-07 1.878795e-14
853 3.894717e-09 5.764517e-09 5.602208e-09 7.280045e-09 2.448568e-07 1.910537e-14
854 3.940750e-09 5.785828e-09 5.623199e-09 7.296715e-09 2.476279e-07 1.942299e-14
855 3.986938e-09 5.811344e-09 5.651760e-09 7.308392e-09 2.505038e-07 1.975301e-14
856 4.031911e-09 5.836641e-09 5.684894e-09 7.323508e-09 2.530758e-07 2.008219e-14
857 4.078162e-09 5.864920e-09 5.721522e-09 7.334121e-09 2.559644e-07 2.040857e-14
858 4.125110e-09 5.888292e-09 5.751172e-09 7.350532e-09 2.589872e-07 2.075821e-14
859 4.173611e-09 5.911759e-09 5.776349e-09 7.358156e-09 2.619844e-07 2.111224e-14
860 4.227085e-09 5.937415e-09 5.796405e-09 7.366217e-09 2.653256e-07 2.149194e-14
861 4.282134e-09 5.956969e-09 5.820330e-09 7.373869e-09 2.685273e-07 2.186915e-14
862 4.333643e-09 5.984177e-09 5.840046e-09 7.385233e-09 2.718816e-07 2.223367e-14
863 4.381905e-09 6.006599e-09 5.862361e-09 7.394689e-09 2.748138e-07 2.261823e-14
864 4.434931e-09 6.026975e-09 5.885705e-09 7.398440e-09 2.782124e-07 2.300205e-14
865 4.488838e-09 6.047494e-09 5.909083e-09 7.398249e-09 2.814120e-07 2.338320e-14
866 4.538319e-09 6.065607e-09 5.932192e-09 7.394292e-09 2.844810e-07 2.377546e-14
867 4.585940e-09 6.082855e-09 5.951256e-09 7.387655e-09 2.875470e-07 2.419443e-14
868 4.639769e-09 6.097844e-09 5.967108e-09 7.381212e-09 2.909031e-07 2.460190e-14
869 4.686206e-09 6.108438e-09 5.987407e-09 7.372187e-09 2.939656e-07 2.500913e-14
870 4.736086e-09 6.121139e-09 6.004028e-09 7.355959e-09 2.968728e-07 2.539264e-14
871 4.783726e-09 6.125300e-09 6.016767e-09 7.332908e-09 2.999517e-07 2.579687e-14
872 4.834283e-09 6.131259e-09 6.022384e-09 7.297488e-09 3.030543e-07 2.619038e-14
873 4.885138e-09 6.133317e-09 6.029693e-09 7.260446e-09 3.062020e-07 2.657027e-14
874 4.930050e-09 6.135158e-09 6.037943e-09 7.217718e-09 3.091387e-07 2.698419e-14
875 4.982005e-09 6.136425e-09 6.048318e-09 7.177388e-09 3.121761e-07 2.739738e-14
876 5.029801e-09 6.145135e-09 6.051603e-09 7.122206e-09 3.151946e-07 2.781532e-14
877 5.079199e-09 6.154718e-09 6.052750e-09 7.079043e-09 3.183800e-07 2.823084e-14
878 5.128912e-09 6.163536e-09 6.057996e-09 7.043785e-09 3.214260e-07 2.866229e-14
879 5.179684e-09 6.179423e-09 6.071934e-09 7.020706e-09 3.245066e-07 2.909255e-14
880 5.227727e-09 6.198170e-09 6.083715e-09 7.019851e-09 3.278560e-07 2.953240e-14
881 5.273602e-09 6.224125e-09 6.108642e-09 7.033528e-09 3.308129e-07 2.997811e-14
882 5.329167e-09 6.246715e-09 6.139001e-09 7.059114e-09 3.344431e-07 3.040947e-14
883 5.384231e-09 6.268595e-09 6.176650e-09 7.084290e-09 3.377462e-07 3.084139e-14
884 5.434136e-09 6.294999e-09 6.218888e-09 7.114409e-09 3.407970e-07 3.128524e-14
885 5.484376e-09 6.318860e-09 6.256823e-09 7.134717e-09 3.441819e-07 3.174241e-14
886 5.539104e-09 6.342087e-09 6.290409e-09 7.159976e-09 3.477142e-07 3.221301e-14
887 5.596098e-09 6.362000e-09 6.320126e-09 7.172380e-09 3.512874e-07 3.268595e-14
888 5.661415e-09 6.378641e-09 6.343377e-09 7.189776e-09 3.551595e-07 3.317012e-14
889 5.726386e-09 6.386519e-09 6.368463e-09 7.199094e-09 3.594389e-07 3.364163e-14
890 5.792127e-09 6.390158e-09 6.396477e-09 7.206433e-09 3.636273e-07 3.412524e-14
891 5.865000e-09 6.396873e-09 6.420366e-09 7.216627e-09 3.681933e-07 3.463218e-14
892 5.939907e-09 6.395209e-09 6.447641e-09 7.216567e-09 3.730453e-07 3.515104e-14
893 6.013043e-09 6.394714e-09 6.467268e-09 7.210007e-09 3.778056e-07 3.564196e-14
894 6.091442e-09 6.391311e-09 6.482221e-09 7.191507e-09 3.825460e-07 3.614329e-14
895 6.165999e-09 6.377064e-09 6.483477e-09 7.156293e-09 3.871556e-07 3.666465e-14
896 6.237629e-09 6.359693e-09 6.480476e-09 7.119799e-09 3.917794e-07 3.719155e-14
897 6.308588e-09 6.340436e-09 6.477239e-09 7.081206e-09 3.963102e-07 3.769822e-14
898 6.381323e-09 6.313216e-09 6.479239e-09 7.036607e-09 4.009871e-07 3.826579e-14
899 6.464860e-09 6.303356e-09 6.478236e-09 6.997444e-09 4.062019e-07 3.884373e-14
900 6.551151e-09 6.294974e-09 6.486805e-09 6.970530e-09 4.112104e-07 3.938984e-14
901 6.632655e-09 6.300255e-09 6.504406e-09 6.943470e-09 4.164029e-07 3.994428e-14
902 6.716753e-09 6.302022e-09 6.521216e-09 6.920875e-09 4.216181e-07 4.052294e-14
903 6.799257e-09 6.319591e-09 6.528745e-09 6.898568e-09 4.266713e-07 4.107998e-14
904 6.877925e-09 6.346373e-09 6.535589e-09 6.865583e-09 4.320508e-07 4.166844e-14
905 6.968631e-09 6.374224e-09 6.541043e-09 6.838518e-09 4.374444e-07 4.229561e-14
906 7.068742e-09 6.411531e-09 6.528461e-09 6.813389e-09 4.437155e-07 4.292543e-14
907 7.172016e-09 6.448003e-09 6.521396e-09 6.783301e-09 4.502974e-07 4.352159e-14
908 7.275468e-09 6.488146e-09 6.505530e-09 6.752427e-09 4.571162e-07 4.413489e-14
909 7.380015e-09 6.521807e-09 6.520395e-09 6.720713e-09 4.637545e-07 4.474912e-14
910 7.478940e-09 6.545917e-09 6.540585e-09 6.700947e-09 4.700066e-07 4.536911e-14
911 7.577649e-09 6.574319e-09 6.567983e-09 6.674104e-09 4.765388e-07 4.603004e-14
912 7.675647e-09 6.592358e-09 6.589532e-09 6.656702e-09 4.823746e-07 4.661214e-14
913 7.773435e-09 6.605052e-09 6.607989e-09 6.627267e-09 4.885957e-07 4.718108e-14
914 7.874790e-09 6.618180e-09 6.632157e-09 6.598176e-09 4.949757e-07 4.778161e-14
915 7.972934e-09 6.624073e-09 6.647944e-09 6.562193e-09 5.011234e-07 4.839816e-14
916 8.065955e-09 6.635415e-09 6.660906e-09 6.515467e-09 5.071413e-07 4.896608e-14
917 8.153685e-09 6.648426e-09 6.677373e-09 6.463817e-09 5.126957e-07 4.952065e-14
918 8.227800e-09 6.654133e-09 6.694296e-09 6.408928e-09 5.171290e-07 5.010823e-14
919 8.298922e-09 6.669391e-09 6.707982e-09 6.351319e-09 5.219172e-07 5.070154e-14
920 8.364302e-09 6.695300e-09 6.737947e-09 6.288205e-09 5.263770e-07 5.127875e-14
921 8.428382e-09 6.718466e-09 6.760361e-09 6.225995e-09 5.303856e-07 5.180618e-14
922 8.492521e-09 6.746275e-09 6.790935e-09 6.166452e-09 5.344579e-07 5.235075e-14
923 8.562490e-09 6.776237e-09 6.816102e-09 6.121720e-09 5.386038e-07 5.286522e-14
924 8.625117e-09 6.798846e-09 6.853536e-09 6.083598e-09 5.428212e-07 5.340739e-14
925 8.679468e-09 6.832354e-09 6.889427e-09 6.059552e-09 5.465635e-07 5.396199e-14
926 8.751900e-09 6.862775e-09 6.939041e-09 6.043582e-09 5.508024e-07 5.454505e-14
927 8.817737e-09 6.891496e-09 6.986952e-09 6.042952e-09 5.552117e-07 5.507186e-14
928 8.892663e-09 6.919910e-09 7.039712e-09 6.044969e-09 5.604527e-07 5.557869e-14
929 8.972213e-09 6.938589e-09 7.081581e-09 6.039913e-09 5.652678e-07 5.614609e-14
930 9.062831e-09 6.958268e-09 7.129609e-09 6.049020e-09 5.709652e-07 5.671326e-14
931 9.149617e-09 6.973990e-09 7.185662e-09 6.057202e-09 5.761556e-07 5.727232e-14
932 9.242116e-09 6.982044e-09 7.254585e-09 6.072163e-09 5.822668e-07 5.781798e-14
933 9.331064e-09 6.980838e-09 7.336859e-09 6.099154e-09 5.882929e-07 5.841701e-14
934 9.438988e-09 6.978949e-09 7.434096e-09 6.160794e-09 5.950377e-07 5.898736e-14
935 9.550826e-09 6.973522e-09 7.544920e-09 6.242006e-09 6.017625e-07 5.949225e-14
936 9.643065e-09 6.967370e-09 7.661898e-09 6.337938e-09 6.075038e-07 6.007974e-14
937 9.727280e-09 6.965496e-09 7.775608e-09 6.426085e-09 6.132370e-07 6.061492e-14
938 9.811541e-09 6.954217e-09 7.875098e-09 6.520549e-09 6.182563e-07 6.113154e-14
939 9.870690e-09 6.942515e-09 7.966172e-09 6.612197e-09 6.222650e-07 6.164333e-14
940 9.934845e-09 6.924853e-09 8.036592e-09 6.701141e-09 6.262443e-07 6.218213e-14
941 1.001097e-08 6.916408e-09 8.104067e-09 6.778069e-09 6.308753e-07 6.268135e-14
942 1.008374e-08 6.909348e-09 8.166034e-09 6.853342e-09 6.356370e-07 6.303941e-14
943 1.014860e-08 6.920370e-09 8.219112e-09 6.920600e-09 6.400760e-07 6.342074e-14
944 1.021119e-08 6.933383e-09 8.265071e-09 6.972050e-09 6.439469e-07 6.376292e-14
945 1.025783e-08 6.954495e-09 8.315782e-09 7.032221e-09 6.472186e-07 6.409270e-14
946 1.031592e-08 6.993090e-09 8.342045e-09 7.068945e-09 6.509590e-07 6.432690e-14
947 1.035382e-08 7.025462e-09 8.357008e-09 7.095636e-09 6.531143e-07 6.455042e-14
948 1.037900e-08 7.064168e-09 8.342558e-09 7.106811e-09 6.547671e-07 6.476838e-14
949 1.039999e-08 7.102351e-09 8.327294e-09 7.102810e-09 6.566228e-07 6.494382e-14
950 1.042135e-08 7.144971e-09 8.295771e-09 7.089108e-09 6.580117e-07 6.504254e-14
951 1.042821e-08 7.180741e-09 8.264994e-09 7.070565e-09 6.587583e-07 6.513364e-14
952 1.043458e-08 7.218642e-09 8.208078e-09 7.041601e-09 6.589647e-07 6.515880e-14
953 1.043838e-08 7.246422e-09 8.172349e-09 7.006222e-09 6.588149e-07 6.508157e-14
954 1.043580e-08 7.266515e-09 8.142786e-09 6.986109e-09 6.587654e-07 6.503668e-14
955 1.045826e-08 7.286478e-09 8.132637e-09 6.962969e-09 6.598043e-07 6.496866e-14
956 1.045975e-08 7.308460e-09 8.117802e-09 6.915212e-09 6.600035e-07 6.491971e-14
957 1.046411e-08 7.335367e-09 8.099857e-09 6.865705e-09 6.604284e-07 6.493032e-14
958 1.047013e-08 7.367476e-09 8.083869e-09 6.814712e-09 6.609304e-07 6.506300e-14
959 1.047087e-08 7.401108e-09 8.065749e-09 6.767676e-09 6.609318e-07 6.515897e-14
960 1.045158e-08 7.428986e-09 8.048945e-09 6.727665e-09 6.595474e-07 6.525424e-14
961 1.044490e-08 7.464425e-09 8.029469e-09 6.663062e-09 6.590484e-07 6.545758e-14
962 1.044724e-08 7.498535e-09 8.011992e-09 6.586990e-09 6.591974e-07 6.563350e-14
963 1.043116e-08 7.546141e-09 8.008770e-09 6.524464e-09 6.586801e-07 6.583076e-14
964 1.042386e-08 7.591452e-09 7.999929e-09 6.476875e-09 6.575767e-07 6.612550e-14
965 1.039317e-08 7.642711e-09 7.978176e-09 6.422655e-09 6.559882e-07 6.643237e-14
966 1.035996e-08 7.689804e-09 7.930975e-09 6.385548e-09 6.537746e-07 6.674354e-14
967 1.029707e-08 7.734985e-09 7.893170e-09 6.338706e-09 6.497051e-07 6.701856e-14
968 1.021500e-08 7.765842e-09 7.863887e-09 6.303305e-09 6.447063e-07 6.736127e-14
969 1.011506e-08 7.786083e-09 7.835434e-09 6.297612e-09 6.384590e-07 6.773311e-14
970 1.000978e-08 7.803733e-09 7.805595e-09 6.300537e-09 6.318720e-07 6.804970e-14
971 9.915698e-09 7.820983e-09 7.777564e-09 6.319125e-09 6.255594e-07 6.833513e-14
972 9.840615e-09 7.844274e-09 7.751611e-09 6.342710e-09 6.203499e-07 6.854342e-14
973 9.775753e-09 7.876466e-09 7.708743e-09 6.367137e-09 6.161089e-07 6.867441e-14
974 9.732362e-09 7.901945e-09 7.670851e-09 6.410549e-09 6.137077e-07 6.889249e-14
975 9.676240e-09 7.925228e-09 7.636265e-09 6.456446e-09 6.096859e-07 6.905975e-14
976 9.621713e-09 7.926050e-09 7.661911e-09 6.509026e-09 6.058478e-07 6.924294e-14
977 9.565379e-09 7.927357e-09 7.724234e-09 6.586573e-09 6.023674e-07 6.947872e-14
978 9.498966e-09 7.909906e-09 7.796583e-09 6.656640e-09 5.981889e-07 6.976825e-14
979 9.449594e-09 7.895670e-09 7.879875e-09 6.706841e-09 5.940884e-07 7.015642e-14
980 9.407020e-09 7.868384e-09 7.980683e-09 6.775559e-09 5.915835e-07 7.056574e-14
981 9.357876e-09 7.861686e-09 8.059439e-09 6.825942e-09 5.884817e-07 7.105815e-14
982 9.365009e-09 7.869637e-09 8.096406e-09 6.864065e-09 5.893970e-07 7.163705e-14
983 9.415472e-09 7.891355e-09 8.109602e-09 6.878749e-09 5.925833e-07 7.230122e-14
984 9.482021e-09 7.925865e-09 8.111017e-09 6.884876e-09 5.968317e-07 7.308843e-14
985 9.544419e-09 7.969033e-09 8.097729e-09 6.878423e-09 6.008382e-07 7.410370e-14
986 9.630412e-09 8.008260e-09 8.028410e-09 6.853473e-09 6.067942e-07 7.517495e-14
987 9.778968e-09 8.057341e-09 7.914038e-09 6.799085e-09 6.158934e-07 7.655786e-14
988 9.948149e-09 8.113108e-09 7.770375e-09 6.727433e-09 6.266698e-07 7.796639e-14
989 1.010769e-08 8.164267e-09 7.613607e-09 6.705340e-09 6.368547e-07 7.946227e-14
990 1.030891e-08 8.215764e-09 7.459436e-09 6.735928e-09 6.493876e-07 8.100889e-14
991 1.049683e-08 8.257480e-09 7.403031e-09 6.759508e-09 6.611457e-07 8.270721e-14
992 1.065615e-08 8.309012e-09 7.418148e-09 6.775809e-09 6.718293e-07 8.439916e-14
993 1.078503e-08 8.354467e-09 7.494861e-09 6.813403e-09 6.797151e-07 8.603802e-14
994 1.091208e-08 8.396529e-09 7.572150e-09 6.831817e-09 6.876262e-07 8.765726e-14
995 1.100490e-08 8.439452e-09 7.631301e-09 6.846798e-09 6.937032e-07 8.920530e-14
996 1.108615e-08 8.495998e-09 7.690515e-09 6.841349e-09 6.990062e-07 9.062988e-14
997 1.115882e-08 8.543412e-09 7.736185e-09 6.823081e-09 7.046174e-07 9.191331e-14
998 1.122295e-08 8.571812e-09 7.762148e-09 6.776971e-09 7.088339e-07 9.296144e-14
999 1.127922e-08 8.593630e-09 7.788013e-09 6.711494e-09 7.118536e-07 9.390876e-14
1000 1.133836e-08 8.614591e-09 7.796472e-09 6.652687e-09 7.162758e-07 9.468424e-14
1001 1.140435e-08 8.629445e-09 7.785581e-09 6.625719e-09 7.205087e-07 9.538458e-14
1002 1.148893e-08 8.643955e-09 7.754176e-09 6.620502e-09 7.263209e-07 9.592975e-14
1003 1.155058e-08 8.669020e-09 7.676991e-09 6.643632e-09 7.301765e-07 9.628621e-14
1004 1.158375e-08 8.689545e-09 7.578246e-09 6.653558e-09 7.323742e-07 9.655502e-14
1005 1.158531e-08 8.701644e-09 7.466522e-09 6.679927e-09 7.320010e-07 9.669910e-14
1006 1.151899e-08 8.697180e-09 7.411462e-09 6.726775e-09 7.269912e-07 9.679886e-14
1007 1.144604e-08 8.684419e-09 7.453793e-09 6.807867e-09 7.218953e-07 9.691406e-14
1008 1.138057e-08 8.672609e-09 7.577628e-09 6.924077e-09 7.172792e-07 9.690696e-14
1009 1.133013e-08 8.645123e-09 7.745696e-09 7.031385e-09 7.132390e-07 9.687521e-14
1010 1.130020e-08 8.600501e-09 7.883063e-09 7.125387e-09 7.097955e-07 9.672232e-14
1011 1.121273e-08 8.560277e-09 8.009089e-09 7.182308e-09 7.045437e-07 9.657268e-14
1012 1.109225e-08 8.487427e-09 8.082970e-09 7.222918e-09 6.970444e-07 9.628953e-14
1013 1.097877e-08 8.382715e-09 8.109980e-09 7.239784e-09 6.895213e-07 9.590307e-14
1014 1.083849e-08 8.270450e-09 8.135418e-09 7.230758e-09 6.810853e-07 9.532170e-14
1015 1.076915e-08 8.155253e-09 8.231908e-09 7.210825e-09 6.767515e-07 9.454882e-14
1016 1.069135e-08 8.028851e-09 8.415056e-09 7.221929e-09 6.721201e-07 9.356727e-14
1017 1.070135e-08 7.903042e-09 8.648907e-09 7.267107e-09 6.728615e-07 9.247989e-14
1018 1.068565e-08 7.783202e-09 8.862115e-09 7.330514e-09 6.719906e-07 9.117761e-14
1019 1.067256e-08 7.671891e-09 9.099410e-09 7.408328e-09 6.706997e-07 9.036203e-14
1020 1.071366e-08 7.607264e-09 9.299246e-09 7.508392e-09 6.718003e-07 9.045491e-14
1021 1.085987e-08 7.563660e-09 9.438076e-09 7.621996e-09 6.799630e-07 9.101063e-14
1022 1.094865e-08 7.543458e-09 9.475564e-09 7.691324e-09 6.847808e-07 9.166301e-14
