# Iterations  CD  CDp  CDf  CL  CLp  CL  Pitch 
1201 5.383063e-02 4.385814e-02 9.972496e-03 2.858089e-01 2.859822e-01 -1.733730e-04 -6.236958e-03
1202 5.383052e-02 4.385804e-02 9.972482e-03 2.858060e-01 2.859794e-01 -1.733858e-04 -6.235404e-03
1203 5.383038e-02 4.385791e-02 9.972474e-03 2.858031e-01 2.859765e-01 -1.733890e-04 -6.233868e-03
1204 5.383021e-02 4.385775e-02 9.972465e-03 2.858002e-01 2.859736e-01 -1.733900e-04 -6.232358e-03
1205 5.383001e-02 4.385756e-02 9.972456e-03 2.857974e-01 2.859708e-01 -1.733890e-04 -6.230888e-03
1206 5.382978e-02 4.385733e-02 9.972446e-03 2.857946e-01 2.859680e-01 -1.733861e-04 -6.229467e-03
1207 5.382952e-02 4.385708e-02 9.972436e-03 2.857919e-01 2.859653e-01 -1.733813e-04 -6.228106e-03
1208 5.382923e-02 4.385681e-02 9.972426e-03 2.857894e-01 2.859627e-01 -1.733748e-04 -6.226813e-03
1209 5.382892e-02 4.385650e-02 9.972415e-03 2.857869e-01 2.859603e-01 -1.733667e-04 -6.225597e-03
1210 5.382857e-02 4.385617e-02 9.972404e-03 2.857846e-01 2.859579e-01 -1.733571e-04 -6.224465e-03
1211 5.382820e-02 4.385581e-02 9.972393e-03 2.857824e-01 2.859557e-01 -1.733463e-04 -6.223422e-03
1212 5.382779e-02 4.385541e-02 9.972381e-03 2.857803e-01 2.859537e-01 -1.733343e-04 -6.222474e-03
1213 5.382736e-02 4.385499e-02 9.972369e-03 2.857785e-01 2.859518e-01 -1.733214e-04 -6.221623e-03
1214 5.382689e-02 4.385453e-02 9.972357e-03 2.857768e-01 2.859501e-01 -1.733077e-04 -6.220873e-03
1215 5.382639e-02 4.385404e-02 9.972344e-03 2.857752e-01 2.859485e-01 -1.732935e-04 -6.220224e-03
1216 5.382585e-02 4.385352e-02 9.972332e-03 2.857739e-01 2.859472e-01 -1.732790e-04 -6.219676e-03
1217 5.382527e-02 4.385295e-02 9.972319e-03 2.857727e-01 2.859460e-01 -1.732642e-04 -6.219229e-03
1218 5.382465e-02 4.385234e-02 9.972306e-03 2.857717e-01 2.859450e-01 -1.732495e-04 -6.218879e-03
1219 5.382398e-02 4.385169e-02 9.972293e-03 2.857709e-01 2.859441e-01 -1.732352e-04 -6.218615e-03
1220 5.382327e-02 4.385099e-02 9.972280e-03 2.857702e-01 2.859435e-01 -1.732212e-04 -6.218444e-03
1221 5.382250e-02 4.385024e-02 9.972267e-03 2.857697e-01 2.859429e-01 -1.732077e-04 -6.218354e-03
1222 5.382169e-02 4.384944e-02 9.972254e-03 2.857694e-01 2.859426e-01 -1.731951e-04 -6.218339e-03
1223 5.382083e-02 4.384859e-02 9.972241e-03 2.857691e-01 2.859423e-01 -1.731833e-04 -6.218393e-03
1224 5.381991e-02 4.384768e-02 9.972228e-03 2.857690e-01 2.859422e-01 -1.731725e-04 -6.218506e-03
1225 5.381893e-02 4.384672e-02 9.972214e-03 2.857690e-01 2.859422e-01 -1.731630e-04 -6.218670e-03
1226 5.381790e-02 4.384570e-02 9.972201e-03 2.857691e-01 2.859422e-01 -1.731547e-04 -6.218874e-03
1227 5.381681e-02 4.384462e-02 9.972188e-03 2.857692e-01 2.859423e-01 -1.731477e-04 -6.219111e-03
1228 5.381565e-02 4.384348e-02 9.972175e-03 2.857694e-01 2.859425e-01 -1.731423e-04 -6.219369e-03
1229 5.381443e-02 4.384227e-02 9.972161e-03 2.857696e-01 2.859427e-01 -1.731382e-04 -6.219640e-03
1230 5.381314e-02 4.384100e-02 9.972148e-03 2.857698e-01 2.859429e-01 -1.731357e-04 -6.219913e-03
1231 5.381179e-02 4.383965e-02 9.972135e-03 2.857700e-01 2.859431e-01 -1.731346e-04 -6.220180e-03
1232 5.381036e-02 4.383824e-02 9.972121e-03 2.857701e-01 2.859432e-01 -1.731350e-04 -6.220434e-03
1233 5.380885e-02 4.383674e-02 9.972108e-03 2.857702e-01 2.859433e-01 -1.731369e-04 -6.220666e-03
1234 5.380727e-02 4.383517e-02 9.972095e-03 2.857702e-01 2.859433e-01 -1.731400e-04 -6.220871e-03
1235 5.380560e-02 4.383352e-02 9.972081e-03 2.857701e-01 2.859432e-01 -1.731445e-04 -6.221043e-03
1236 5.380385e-02 4.383178e-02 9.972067e-03 2.857698e-01 2.859430e-01 -1.731501e-04 -6.221179e-03
1237 5.380200e-02 4.382995e-02 9.972054e-03 2.857695e-01 2.859426e-01 -1.731568e-04 -6.221277e-03
1238 5.380006e-02 4.382802e-02 9.972040e-03 2.857689e-01 2.859421e-01 -1.731644e-04 -6.221335e-03
1239 5.379802e-02 4.382600e-02 9.972026e-03 2.857683e-01 2.859414e-01 -1.731728e-04 -6.221355e-03
1240 5.379588e-02 4.382387e-02 9.972011e-03 2.857674e-01 2.859406e-01 -1.731818e-04 -6.221338e-03
1241 5.379363e-02 4.382164e-02 9.971997e-03 2.857664e-01 2.859396e-01 -1.731913e-04 -6.221287e-03
1242 5.379127e-02 4.381929e-02 9.971982e-03 2.857651e-01 2.859383e-01 -1.732013e-04 -6.221208e-03
1243 5.378879e-02 4.381682e-02 9.971967e-03 2.857637e-01 2.859369e-01 -1.732114e-04 -6.221105e-03
1244 5.378618e-02 4.381423e-02 9.971952e-03 2.857621e-01 2.859353e-01 -1.732216e-04 -6.220986e-03
1245 5.378344e-02 4.381151e-02 9.971936e-03 2.857602e-01 2.859335e-01 -1.732319e-04 -6.220857e-03
1246 5.378057e-02 4.380865e-02 9.971920e-03 2.857582e-01 2.859314e-01 -1.732419e-04 -6.220728e-03
1247 5.377755e-02 4.380565e-02 9.971904e-03 2.857560e-01 2.859292e-01 -1.732518e-04 -6.220604e-03
1248 5.377438e-02 4.380249e-02 9.971887e-03 2.857535e-01 2.859268e-01 -1.732612e-04 -6.220499e-03
1249 5.377104e-02 4.379917e-02 9.971870e-03 2.857509e-01 2.859242e-01 -1.732704e-04 -6.220413e-03
1250 5.376754e-02 4.379569e-02 9.971852e-03 2.857481e-01 2.859213e-01 -1.732790e-04 -6.220365e-03
1251 5.376384e-02 4.379201e-02 9.971834e-03 2.857450e-01 2.859183e-01 -1.732872e-04 -6.220351e-03
1252 5.375996e-02 4.378814e-02 9.971815e-03 2.857419e-01 2.859152e-01 -1.732950e-04 -6.220388e-03
1253 5.375585e-02 4.378406e-02 9.971796e-03 2.857385e-01 2.859118e-01 -1.733022e-04 -6.220471e-03
1254 5.375153e-02 4.377975e-02 9.971776e-03 2.857349e-01 2.859082e-01 -1.733091e-04 -6.220617e-03
1255 5.374695e-02 4.377519e-02 9.971755e-03 2.857312e-01 2.859045e-01 -1.733158e-04 -6.220811e-03
1256 5.374211e-02 4.377038e-02 9.971734e-03 2.857273e-01 2.859006e-01 -1.733221e-04 -6.221077e-03
1257 5.373698e-02 4.376527e-02 9.971712e-03 2.857232e-01 2.858965e-01 -1.733282e-04 -6.221396e-03
1258 5.373154e-02 4.375985e-02 9.971689e-03 2.857189e-01 2.858923e-01 -1.733343e-04 -6.221778e-03
1259 5.372576e-02 4.375409e-02 9.971665e-03 2.857145e-01 2.858878e-01 -1.733407e-04 -6.222202e-03
1260 5.371961e-02 4.374797e-02 9.971640e-03 2.857098e-01 2.858831e-01 -1.733472e-04 -6.222689e-03
1261 5.371306e-02 4.374144e-02 9.971614e-03 2.857049e-01 2.858782e-01 -1.733540e-04 -6.223216e-03
1262 5.370607e-02 4.373448e-02 9.971587e-03 2.856997e-01 2.858731e-01 -1.733615e-04 -6.223777e-03
1263 5.369861e-02 4.372705e-02 9.971559e-03 2.856943e-01 2.858677e-01 -1.733699e-04 -6.224355e-03
1264 5.369064e-02 4.371911e-02 9.971530e-03 2.856886e-01 2.858620e-01 -1.733787e-04 -6.224970e-03
1265 5.368210e-02 4.371060e-02 9.971499e-03 2.856825e-01 2.858559e-01 -1.733889e-04 -6.225570e-03
1266 5.367296e-02 4.370149e-02 9.971467e-03 2.856761e-01 2.858495e-01 -1.734000e-04 -6.226186e-03
1267 5.366316e-02 4.369173e-02 9.971433e-03 2.856693e-01 2.858427e-01 -1.734124e-04 -6.226778e-03
1268 5.365266e-02 4.368126e-02 9.971398e-03 2.856621e-01 2.858355e-01 -1.734262e-04 -6.227351e-03
1269 5.364138e-02 4.367002e-02 9.971360e-03 2.856543e-01 2.858277e-01 -1.734416e-04 -6.227882e-03
