# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
1262 3.219382e-10 6.736259e-10 7.605649e-10 9.871544e-10 2.022669e-08 1.666298e-15
1263 3.245325e-10 6.744471e-10 7.594439e-10 9.863613e-10 2.038371e-08 1.676241e-15
1264 3.270676e-10 6.749708e-10 7.592393e-10 9.860478e-10 2.054119e-08 1.686522e-15
1265 3.296898e-10 6.757976e-10 7.590691e-10 9.863947e-10 2.070746e-08 1.696699e-15
1266 3.323673e-10 6.766267e-10 7.591767e-10 9.868821e-10 2.087463e-08 1.707176e-15
1267 3.349747e-10 6.776963e-10 7.593531e-10 9.877055e-10 2.103603e-08 1.717689e-15
1268 3.376674e-10 6.790780e-10 7.598547e-10 9.889889e-10 2.120942e-08 1.728789e-15
1269 3.404241e-10 6.803833e-10 7.601271e-10 9.904827e-10 2.137948e-08 1.740249e-15
1270 3.430054e-10 6.816688e-10 7.606569e-10 9.916761e-10 2.154054e-08 1.752066e-15
1271 3.455641e-10 6.831844e-10 7.609664e-10 9.931312e-10 2.170161e-08 1.764487e-15
1272 3.483310e-10 6.845092e-10 7.615289e-10 9.944669e-10 2.187179e-08 1.776772e-15
1273 3.509947e-10 6.860858e-10 7.630838e-10 9.959783e-10 2.204595e-08 1.789912e-15
1274 3.538063e-10 6.874811e-10 7.658440e-10 9.975284e-10 2.221576e-08 1.803306e-15
1275 3.564277e-10 6.889024e-10 7.690458e-10 9.990195e-10 2.238570e-08 1.817330e-15
1276 3.591660e-10 6.903006e-10 7.726628e-10 1.000281e-09 2.255685e-08 1.831269e-15
1277 3.618158e-10 6.917091e-10 7.758202e-10 1.001631e-09 2.273058e-08 1.845883e-15
1278 3.644879e-10 6.934569e-10 7.793346e-10 1.003499e-09 2.290099e-08 1.861106e-15
1279 3.670661e-10 6.950469e-10 7.826006e-10 1.005157e-09 2.306912e-08 1.876448e-15
1280 3.698469e-10 6.967982e-10 7.856502e-10 1.006719e-09 2.325040e-08 1.892227e-15
1281 3.727863e-10 6.985722e-10 7.888208e-10 1.008542e-09 2.344201e-08 1.908275e-15
1282 3.757262e-10 7.004128e-10 7.917879e-10 1.010579e-09 2.362969e-08 1.924371e-15
