# Iterations  CD  CDp  CDf  CL  CLp  CL  Pitch 
853 8.632741e-02 7.667363e-02 9.653781e-03 3.622422e-01 3.624630e-01 -2.207837e-04 -2.928139e-02
854 8.627633e-02 7.662266e-02 9.653676e-03 3.622089e-01 3.624297e-01 -2.208489e-04 -2.928343e-02
855 8.621987e-02 7.656630e-02 9.653561e-03 3.621722e-01 3.623931e-01 -2.209200e-04 -2.928539e-02
856 8.615740e-02 7.650397e-02 9.653435e-03 3.621317e-01 3.623527e-01 -2.209981e-04 -2.928728e-02
857 8.608824e-02 7.643495e-02 9.653296e-03 3.620871e-01 3.623082e-01 -2.210834e-04 -2.928907e-02
858 8.601169e-02 7.635855e-02 9.653146e-03 3.620380e-01 3.622592e-01 -2.211765e-04 -2.929080e-02
859 8.592691e-02 7.627393e-02 9.652981e-03 3.619838e-01 3.622051e-01 -2.212780e-04 -2.929230e-02
860 8.583308e-02 7.618028e-02 9.652803e-03 3.619241e-01 3.621455e-01 -2.213883e-04 -2.929368e-02
861 8.572928e-02 7.607667e-02 9.652610e-03 3.618582e-01 3.620797e-01 -2.215076e-04 -2.929479e-02
862 8.561460e-02 7.596219e-02 9.652403e-03 3.617855e-01 3.620072e-01 -2.216364e-04 -2.929562e-02
863 8.548802e-02 7.583583e-02 9.652180e-03 3.617055e-01 3.619273e-01 -2.217746e-04 -2.929603e-02
864 8.534859e-02 7.569665e-02 9.651943e-03 3.616177e-01 3.618396e-01 -2.219221e-04 -2.929608e-02
865 8.519528e-02 7.554359e-02 9.651692e-03 3.615212e-01 3.617433e-01 -2.220782e-04 -2.929556e-02
866 8.502702e-02 7.537560e-02 9.651426e-03 3.614155e-01 3.616378e-01 -2.222436e-04 -2.929434e-02
867 8.484289e-02 7.519174e-02 9.651148e-03 3.613002e-01 3.615226e-01 -2.224158e-04 -2.929247e-02
868 8.464187e-02 7.499101e-02 9.650859e-03 3.611743e-01 3.613969e-01 -2.225956e-04 -2.928957e-02
869 8.442317e-02 7.477261e-02 9.650560e-03 3.610377e-01 3.612605e-01 -2.227800e-04 -2.928576e-02
870 8.418591e-02 7.453566e-02 9.650253e-03 3.608896e-01 3.611125e-01 -2.229698e-04 -2.928053e-02
871 8.392954e-02 7.427960e-02 9.649942e-03 3.607299e-01 3.609530e-01 -2.231610e-04 -2.927404e-02
872 8.365352e-02 7.400389e-02 9.649629e-03 3.605580e-01 3.607814e-01 -2.233533e-04 -2.926589e-02
873 8.335751e-02 7.370819e-02 9.649317e-03 3.603739e-01 3.605975e-01 -2.235448e-04 -2.925588e-02
874 8.304145e-02 7.339244e-02 9.649011e-03 3.601775e-01 3.604012e-01 -2.237333e-04 -2.924392e-02
875 8.270546e-02 7.305675e-02 9.648714e-03 3.599686e-01 3.601925e-01 -2.239171e-04 -2.922964e-02
876 8.234992e-02 7.270149e-02 9.648429e-03 3.597474e-01 3.599715e-01 -2.240939e-04 -2.921297e-02
877 8.197549e-02 7.232733e-02 9.648161e-03 3.595141e-01 3.597384e-01 -2.242628e-04 -2.919360e-02
878 8.158310e-02 7.193518e-02 9.647914e-03 3.592689e-01 3.594934e-01 -2.244225e-04 -2.917137e-02
