# Iter  CD  CDp  CDf 
123 1.187053e+00 9.252288e-01 2.618244e-01
124 1.185684e+00 9.252198e-01 2.604642e-01
125 1.184314e+00 9.252114e-01 2.591026e-01
126 1.182943e+00 9.252033e-01 2.577397e-01
127 1.181571e+00 9.251952e-01 2.563757e-01
128 1.180198e+00 9.251872e-01 2.550107e-01
129 1.178824e+00 9.251792e-01 2.536449e-01
130 1.177450e+00 9.251712e-01 2.522784e-01
131 1.176074e+00 9.251631e-01 2.509113e-01
132 1.174699e+00 9.251552e-01 2.495437e-01
133 1.173323e+00 9.251475e-01 2.481758e-01
134 1.171948e+00 9.251399e-01 2.468078e-01
135 1.170572e+00 9.251326e-01 2.454397e-01
136 1.169197e+00 9.251255e-01 2.440717e-01
137 1.167822e+00 9.251186e-01 2.427038e-01
138 1.166448e+00 9.251119e-01 2.413363e-01
139 1.165075e+00 9.251055e-01 2.399692e-01
140 1.163702e+00 9.250991e-01 2.386027e-01
141 1.162330e+00 9.250930e-01 2.372369e-01
142 1.160959e+00 9.250869e-01 2.358719e-01
143 1.159589e+00 9.250810e-01 2.345078e-01
144 1.158220e+00 9.250752e-01 2.331448e-01
145 1.156853e+00 9.250695e-01 2.317830e-01
146 1.155486e+00 9.250639e-01 2.304225e-01
147 1.154122e+00 9.250584e-01 2.290634e-01
148 1.152759e+00 9.250529e-01 2.277059e-01
149 1.151398e+00 9.250475e-01 2.263501e-01
150 1.150038e+00 9.250420e-01 2.249960e-01
151 1.148680e+00 9.250366e-01 2.236438e-01
152 1.147325e+00 9.250311e-01 2.222937e-01
153 1.145971e+00 9.250256e-01 2.209456e-01
154 1.144620e+00 9.250201e-01 2.195999e-01
155 1.143271e+00 9.250145e-01 2.182565e-01
156 1.141924e+00 9.250089e-01 2.169156e-01
157 1.140580e+00 9.250032e-01 2.155772e-01
158 1.139239e+00 9.249975e-01 2.142416e-01
159 1.137900e+00 9.249917e-01 2.129087e-01
160 1.136565e+00 9.249859e-01 2.115788e-01
161 1.135232e+00 9.249800e-01 2.102519e-01
162 1.133902e+00 9.249741e-01 2.089281e-01
163 1.132576e+00 9.249681e-01 2.076076e-01
164 1.131252e+00 9.249620e-01 2.062904e-01
165 1.129932e+00 9.249559e-01 2.049766e-01
166 1.128616e+00 9.249497e-01 2.036663e-01
167 1.127303e+00 9.249434e-01 2.023597e-01
168 1.125994e+00 9.249370e-01 2.010567e-01
169 1.124688e+00 9.249305e-01 1.997576e-01
170 1.123386e+00 9.249239e-01 1.984624e-01
171 1.122088e+00 9.249172e-01 1.971713e-01
172 1.120795e+00 9.249104e-01 1.958841e-01
173 1.119505e+00 9.249034e-01 1.946012e-01
174 1.118219e+00 9.248963e-01 1.933226e-01
175 1.116937e+00 9.248890e-01 1.920483e-01
176 1.115660e+00 9.248816e-01 1.907784e-01
177 1.114387e+00 9.248741e-01 1.895130e-01
178 1.113119e+00 9.248663e-01 1.882523e-01
179 1.111855e+00 9.248584e-01 1.869962e-01
180 1.110595e+00 9.248502e-01 1.857449e-01
181 1.109340e+00 9.248419e-01 1.844984e-01
182 1.108090e+00 9.248333e-01 1.832568e-01
183 1.106845e+00 9.248246e-01 1.820202e-01
184 1.105604e+00 9.248156e-01 1.807886e-01
185 1.104368e+00 9.248063e-01 1.795621e-01
186 1.103138e+00 9.247968e-01 1.783407e-01
187 1.101912e+00 9.247870e-01 1.771246e-01
188 1.100691e+00 9.247770e-01 1.759138e-01
189 1.099475e+00 9.247666e-01 1.747084e-01
190 1.098264e+00 9.247560e-01 1.735083e-01
191 1.097059e+00 9.247450e-01 1.723137e-01
192 1.095858e+00 9.247336e-01 1.711246e-01
193 1.094663e+00 9.247220e-01 1.699411e-01
194 1.093473e+00 9.247099e-01 1.687633e-01
195 1.092289e+00 9.246975e-01 1.675911e-01
196 1.091109e+00 9.246846e-01 1.664246e-01
197 1.089935e+00 9.246713e-01 1.652638e-01
198 1.088766e+00 9.246576e-01 1.641089e-01
199 1.087603e+00 9.246434e-01 1.629597e-01
200 1.086445e+00 9.246287e-01 1.618165e-01
201 1.085293e+00 9.246135e-01 1.606792e-01
202 1.084146e+00 9.245978e-01 1.595478e-01
203 1.083004e+00 9.245815e-01 1.584224e-01
204 1.081868e+00 9.245646e-01 1.573031e-01
205 1.080737e+00 9.245471e-01 1.561897e-01
206 1.079611e+00 9.245289e-01 1.550824e-01
207 1.078491e+00 9.245101e-01 1.539812e-01
208 1.077377e+00 9.244905e-01 1.528862e-01
209 1.076267e+00 9.244702e-01 1.517972e-01
210 1.075164e+00 9.244491e-01 1.507144e-01
211 1.074065e+00 9.244272e-01 1.496378e-01
212 1.072972e+00 9.244044e-01 1.485674e-01
213 1.071884e+00 9.243807e-01 1.475032e-01
214 1.070801e+00 9.243561e-01 1.464452e-01
215 1.069724e+00 9.243304e-01 1.453934e-01
216 1.068652e+00 9.243037e-01 1.443478e-01
217 1.067584e+00 9.242759e-01 1.433085e-01
218 1.066522e+00 9.242469e-01 1.422755e-01
219 1.065465e+00 9.242166e-01 1.412487e-01
220 1.064413e+00 9.241851e-01 1.402281e-01
221 1.063366e+00 9.241522e-01 1.392139e-01
222 1.062324e+00 9.241179e-01 1.382059e-01
223 1.061286e+00 9.240821e-01 1.372041e-01
224 1.060253e+00 9.240446e-01 1.362086e-01
225 1.059225e+00 9.240055e-01 1.352193e-01
226 1.058201e+00 9.239646e-01 1.342363e-01
227 1.057181e+00 9.239218e-01 1.332596e-01
228 1.056166e+00 9.238771e-01 1.322891e-01
229 1.055155e+00 9.238302e-01 1.313248e-01
230 1.054148e+00 9.237811e-01 1.303667e-01
231 1.053144e+00 9.237296e-01 1.294148e-01
232 1.052145e+00 9.236757e-01 1.284691e-01
233 1.051149e+00 9.236191e-01 1.275296e-01
234 1.050156e+00 9.235597e-01 1.265962e-01
235 1.049166e+00 9.234973e-01 1.256690e-01
236 1.048180e+00 9.234317e-01 1.247479e-01
237 1.047196e+00 9.233628e-01 1.238330e-01
238 1.046214e+00 9.232903e-01 1.229241e-01
239 1.045235e+00 9.232140e-01 1.220213e-01
240 1.044258e+00 9.231337e-01 1.211246e-01
241 1.043283e+00 9.230490e-01 1.202339e-01
242 1.042309e+00 9.229598e-01 1.193492e-01
243 1.041336e+00 9.228657e-01 1.184705e-01
244 1.040364e+00 9.227663e-01 1.175978e-01
245 1.039393e+00 9.226614e-01 1.167311e-01
246 1.038421e+00 9.225507e-01 1.158702e-01
247 1.037449e+00 9.224336e-01 1.150152e-01
248 1.036476e+00 9.223098e-01 1.141662e-01
249 1.035502e+00 9.221787e-01 1.133229e-01
250 1.034526e+00 9.220401e-01 1.124855e-01
251 1.033547e+00 9.218931e-01 1.116539e-01
252 1.032565e+00 9.217374e-01 1.108280e-01
253 1.031580e+00 9.215722e-01 1.100079e-01
254 1.030590e+00 9.213969e-01 1.091934e-01
255 1.029595e+00 9.212106e-01 1.083847e-01
256 1.028594e+00 9.210126e-01 1.075815e-01
257 1.027586e+00 9.208019e-01 1.067840e-01
258 1.026570e+00 9.205776e-01 1.059921e-01
259 1.025544e+00 9.203387e-01 1.052058e-01
260 1.024509e+00 9.200838e-01 1.044249e-01
261 1.023461e+00 9.198118e-01 1.036496e-01
262 1.022401e+00 9.195214e-01 1.028797e-01
263 1.021326e+00 9.192109e-01 1.021152e-01
264 1.020235e+00 9.188788e-01 1.013561e-01
265 1.019126e+00 9.185232e-01 1.006024e-01
266 1.017996e+00 9.181423e-01 9.985395e-02
267 1.016845e+00 9.177338e-01 9.911084e-02
268 1.015668e+00 9.172955e-01 9.837298e-02
269 1.014465e+00 9.168247e-01 9.764032e-02
270 1.013231e+00 9.163186e-01 9.691285e-02
271 1.011965e+00 9.157741e-01 9.619052e-02
272 1.010661e+00 9.151878e-01 9.547330e-02
273 1.009317e+00 9.145558e-01 9.476116e-02
274 1.007928e+00 9.138741e-01 9.405403e-02
275 1.006490e+00 9.131379e-01 9.335190e-02
276 1.004997e+00 9.123423e-01 9.265473e-02
277 1.003444e+00 9.114815e-01 9.196249e-02
278 1.001825e+00 9.105495e-01 9.127512e-02
279 1.000132e+00 9.095392e-01 9.059259e-02
280 9.983578e-01 9.084430e-01 8.991484e-02
281 9.964943e-01 9.072524e-01 8.924184e-02
282 9.945317e-01 9.059582e-01 8.857352e-02
283 9.924596e-01 9.045497e-01 8.790987e-02
284 9.902662e-01 9.030154e-01 8.725082e-02
285 9.879385e-01 9.013422e-01 8.659633e-02
286 9.854619e-01 8.995155e-01 8.594634e-02
287 9.828202e-01 8.975194e-01 8.530081e-02
288 9.799954e-01 8.953357e-01 8.465968e-02
289 9.769672e-01 8.929443e-01 8.402292e-02
290 9.737131e-01 8.903226e-01 8.339044e-02
291 9.702078e-01 8.874456e-01 8.276222e-02
292 9.664232e-01 8.842850e-01 8.213822e-02
293 9.623281e-01 8.808096e-01 8.151847e-02
294 9.578893e-01 8.769844e-01 8.090486e-02
295 9.530659e-01 8.727704e-01 8.029547e-02
296 9.478141e-01 8.681240e-01 7.969009e-02
297 9.420855e-01 8.629969e-01 7.908860e-02
298 9.358256e-01 8.573349e-01 7.849072e-02
299 9.289743e-01 8.510781e-01 7.789611e-02
300 9.214649e-01 8.441602e-01 7.730477e-02
301 9.132240e-01 8.365073e-01 7.671674e-02
302 9.041695e-01 8.280376e-01 7.613199e-02
303 8.942105e-01 8.186601e-01 7.555032e-02
304 8.832463e-01 8.082746e-01 7.497168e-02
305 8.711657e-01 7.967697e-01 7.439596e-02
306 8.578467e-01 7.840236e-01 7.382311e-02
307 8.431548e-01 7.699017e-01 7.325311e-02
308 8.269407e-01 7.542549e-01 7.268577e-02
309 8.090400e-01 7.369190e-01 7.212101e-02
310 7.892738e-01 7.177150e-01 7.155885e-02
311 7.674460e-01 6.964468e-01 7.099916e-02
312 7.433413e-01 6.728996e-01 7.044176e-02
313 7.167276e-01 6.468410e-01 6.988662e-02
314 6.873538e-01 6.180203e-01 6.933356e-02
315 6.549542e-01 5.861716e-01 6.878258e-02
316 6.192473e-01 5.510138e-01 6.823343e-02
317 5.799421e-01 5.122561e-01 6.768602e-02
318 5.367431e-01 4.696029e-01 6.714019e-02
319 4.893614e-01 4.227656e-01 6.659587e-02
320 4.375304e-01 3.714773e-01 6.605302e-02
321 3.810223e-01 3.155109e-01 6.551139e-02
322 3.196692e-01 2.546983e-01 6.497089e-02
323 2.533846e-01 1.889531e-01 6.443155e-02
324 1.822001e-01 1.183068e-01 6.389331e-02
325 1.063058e-01 4.294988e-02 6.335592e-02
326 2.603248e-02 -3.678729e-02 6.281978e-02
327 -5.806677e-02 -1.203518e-01 6.228499e-02
328 -1.451859e-01 -2.069377e-01 6.175179e-02
329 -2.342556e-01 -2.954761e-01 6.122051e-02
330 -3.240528e-01 -3.847440e-01 6.069118e-02
331 -4.132233e-01 -4.733881e-01 6.016481e-02
332 -5.002582e-01 -5.599009e-01 5.964265e-02
333 -5.835574e-01 -6.426840e-01 5.912664e-02
334 -6.614949e-01 -7.201135e-01 5.861866e-02
335 -7.325197e-01 -7.906407e-01 5.812101e-02
336 -7.952544e-01 -8.528903e-01 5.763590e-02
337 -8.485647e-01 -9.057302e-01 5.716550e-02
338 -8.916484e-01 -9.483597e-01 5.671131e-02
339 -9.241012e-01 -9.803762e-01 5.627502e-02
340 -9.459398e-01 -1.001796e+00 5.585591e-02
341 -9.576328e-01 -1.013085e+00 5.545205e-02
342 -9.600989e-01 -1.015160e+00 5.506097e-02
343 -9.546247e-01 -1.009305e+00 5.467988e-02
344 -9.427358e-01 -9.970419e-01 5.430617e-02
345 -9.260512e-01 -9.799889e-01 5.393772e-02
346 -9.061410e-01 -9.597139e-01 5.357291e-02
347 -8.843575e-01 -9.375686e-01 5.321115e-02
348 -8.617905e-01 -9.146419e-01 5.285141e-02
349 -8.391708e-01 -8.916648e-01 5.249401e-02
350 -8.168696e-01 -8.690096e-01 5.214000e-02
351 -7.949636e-01 -8.467527e-01 5.178912e-02
352 -7.732707e-01 -8.247117e-01 5.144104e-02
353 -7.514176e-01 -8.025131e-01 5.109551e-02
354 -7.289245e-01 -7.796770e-01 5.075256e-02
355 -7.052557e-01 -7.556678e-01 5.041205e-02
356 -6.798690e-01 -7.299430e-01 5.007397e-02
357 -6.522281e-01 -7.019666e-01 4.973851e-02
358 -6.218282e-01 -6.712343e-01 4.940607e-02
359 -5.882147e-01 -6.372913e-01 4.907666e-02
360 -5.509872e-01 -5.997379e-01 4.875066e-02
361 -5.098122e-01 -5.582406e-01 4.842841e-02
362 -4.644116e-01 -5.125218e-01 4.811024e-02
363 -4.146081e-01 -4.624044e-01 4.779623e-02
364 -3.602668e-01 -4.077534e-01 4.748662e-02
365 -3.013135e-01 -3.484958e-01 4.718234e-02
366 -2.377770e-01 -2.846606e-01 4.688364e-02
367 -1.697758e-01 -2.163667e-01 4.659086e-02
368 -9.757095e-02 -1.438753e-01 4.630433e-02
369 -2.156463e-02 -6.758905e-02 4.602442e-02
370 5.768105e-02 1.193005e-02 4.575101e-02
