# x y Cp Cf
0.000000e+00 0.000000e+00 -9.263205e-01 4.108565e-14
8.308163e-05 1.636889e-03 -1.055118e+00 1.585161e-03
1.454538e-03 6.835397e-03 -1.381177e+00 4.648357e-03
8.204610e-03 1.607500e-02 -3.528039e-01 6.550906e-03
2.858480e-02 2.911241e-02 2.481340e-01 6.352962e-03
7.448763e-02 4.379391e-02 4.269053e-01 5.348998e-03
1.573693e-01 5.548731e-02 4.651562e-01 4.434438e-03
2.813230e-01 5.868873e-02 3.650840e-01 3.637528e-03
4.373721e-01 5.089424e-02 2.318364e-01 3.056702e-03
6.037910e-01 3.542878e-02 1.003722e-01 2.636194e-03
7.539573e-01 1.938796e-02 9.885239e-03 1.292824e-03
8.679059e-01 8.179092e-03 -5.450149e-02 1.210056e-03
9.400153e-01 2.602854e-03 -8.727693e-02 1.140356e-03
9.776696e-01 6.026062e-04 -1.070504e-01 1.102992e-03
9.936182e-01 9.279287e-05 -1.128925e-01 1.078523e-03
9.989091e-01 6.574488e-06 -1.155381e-01 1.048549e-03
1.000000e+00 -0.000000e+00 -1.021498e-01 1.733943e-15
9.989091e-01 -6.574488e-06 -1.155381e-01 1.048549e-03
9.936182e-01 -9.279287e-05 -1.128925e-01 1.078523e-03
9.776696e-01 -6.026062e-04 -1.070504e-01 1.102992e-03
9.400153e-01 -2.602854e-03 -8.727693e-02 1.140356e-03
8.679059e-01 -8.179092e-03 -5.450149e-02 1.210056e-03
7.539573e-01 -1.938796e-02 9.885239e-03 1.292824e-03
6.037910e-01 -3.542878e-02 1.003722e-01 2.636194e-03
4.373721e-01 -5.089424e-02 2.318364e-01 3.056702e-03
2.813230e-01 -5.868873e-02 3.650840e-01 3.637528e-03
1.573693e-01 -5.548731e-02 4.651562e-01 4.434438e-03
7.448763e-02 -4.379391e-02 4.269053e-01 5.348998e-03
2.858480e-02 -2.911241e-02 2.481340e-01 6.352962e-03
8.204610e-03 -1.607500e-02 -3.528039e-01 6.550906e-03
1.454538e-03 -6.835397e-03 -1.381177e+00 4.648357e-03
8.308163e-05 -1.636889e-03 -1.055118e+00 1.585161e-03
8.308163e-05 -1.636889e-03 -1.055118e+00 -1.585161e-03
   
