# x y Cp Cf
0.000000e+00 0.000000e+00 -9.913369e-01 7.214298e-14
5.050861e-06 4.036442e-04 -9.911875e-01 7.883114e-04
8.308163e-05 1.636889e-03 -9.913809e-01 2.199566e-03
4.380745e-04 3.756789e-03 -9.506467e-01 3.289307e-03
1.454538e-03 6.835397e-03 -8.338214e-01 4.287602e-03
3.747282e-03 1.093476e-02 -6.204326e-01 5.224846e-03
8.204610e-03 1.607500e-02 -2.272278e-01 5.706839e-03
1.600477e-02 2.219540e-02 1.125420e-01 5.782724e-03
2.858480e-02 2.911241e-02 3.143912e-01 5.825008e-03
4.754546e-02 3.648382e-02 4.180740e-01 5.658909e-03
7.448763e-02 4.379391e-02 4.697603e-01 5.322156e-03
1.107916e-01 5.037639e-02 4.820856e-01 4.913709e-03
1.573693e-01 5.548731e-02 4.593623e-01 4.508151e-03
2.144322e-01 5.842679e-02 4.266779e-01 4.092145e-03
2.813230e-01 5.868873e-02 3.648127e-01 3.751745e-03
3.564534e-01 5.609897e-02 3.082704e-01 3.432980e-03
4.373721e-01 5.089424e-02 2.347744e-01 3.204435e-03
5.209685e-01 4.370417e-02 1.656074e-01 3.052854e-03
6.037910e-01 3.542878e-02 9.951524e-02 2.890198e-03
6.824382e-01 2.704260e-02 4.394606e-02 2.498127e-03
7.539573e-01 1.938796e-02 -5.598530e-03 1.994582e-03
8.161771e-01 1.302485e-02 -4.411752e-02 1.885765e-03
8.679059e-01 8.179092e-03 -7.580577e-02 1.803837e-03
9.089579e-01 4.787562e-03 -9.927037e-02 1.750294e-03
9.400153e-01 2.602854e-03 -1.155087e-01 1.717608e-03
9.623778e-01 1.307767e-03 -1.256446e-01 1.700306e-03
9.776696e-01 6.026062e-04 -1.311287e-01 1.694703e-03
9.875714e-01 2.514464e-04 -1.334113e-01 1.698892e-03
9.936182e-01 9.279287e-05 -1.337423e-01 1.710463e-03
9.970788e-01 2.878491e-05 -1.330986e-01 1.722715e-03
9.989091e-01 6.574488e-06 -1.333569e-01 1.689782e-03
9.997582e-01 6.863944e-07 -1.371567e-01 1.851247e-03
1.000000e+00 -0.000000e+00 -1.198057e-01 1.253623e-16
9.997582e-01 -6.863944e-07 -1.371567e-01 1.851247e-03
9.989091e-01 -6.574488e-06 -1.333569e-01 1.689782e-03
9.970788e-01 -2.878491e-05 -1.330986e-01 1.722715e-03
9.936182e-01 -9.279287e-05 -1.337423e-01 1.710463e-03
9.875714e-01 -2.514464e-04 -1.334113e-01 1.698892e-03
9.776696e-01 -6.026062e-04 -1.311287e-01 1.694703e-03
9.623778e-01 -1.307767e-03 -1.256446e-01 1.700306e-03
9.400153e-01 -2.602854e-03 -1.155087e-01 1.717608e-03
9.089579e-01 -4.787562e-03 -9.927037e-02 1.750294e-03
8.679059e-01 -8.179092e-03 -7.580577e-02 1.803837e-03
8.161771e-01 -1.302485e-02 -4.411752e-02 1.885765e-03
7.539573e-01 -1.938796e-02 -5.598530e-03 1.994582e-03
6.824382e-01 -2.704260e-02 4.394606e-02 2.498127e-03
6.037910e-01 -3.542878e-02 9.951524e-02 2.890198e-03
5.209685e-01 -4.370417e-02 1.656074e-01 3.052854e-03
4.373721e-01 -5.089424e-02 2.347744e-01 3.204435e-03
3.564534e-01 -5.609897e-02 3.082704e-01 3.432980e-03
2.813230e-01 -5.868873e-02 3.648127e-01 3.751745e-03
2.144322e-01 -5.842679e-02 4.266779e-01 4.092145e-03
1.573693e-01 -5.548731e-02 4.593623e-01 4.508151e-03
1.107916e-01 -5.037639e-02 4.820856e-01 4.913709e-03
7.448763e-02 -4.379391e-02 4.697603e-01 5.322156e-03
4.754546e-02 -3.648382e-02 4.180740e-01 5.658909e-03
2.858480e-02 -2.911241e-02 3.143912e-01 5.825008e-03
1.600477e-02 -2.219540e-02 1.125420e-01 5.782724e-03
8.204610e-03 -1.607500e-02 -2.272278e-01 5.706839e-03
3.747282e-03 -1.093476e-02 -6.204326e-01 5.224846e-03
1.454538e-03 -6.835397e-03 -8.338214e-01 4.287602e-03
4.380745e-04 -3.756789e-03 -9.506467e-01 3.289307e-03
8.308163e-05 -1.636889e-03 -9.913809e-01 2.199566e-03
5.050861e-06 -4.036442e-04 -9.911875e-01 7.883114e-04
5.050861e-06 -4.036442e-04 -9.911875e-01 -7.883114e-04
   
