# Iter  CD  CDp  CDf 
1 1.165208e-01 9.227854e-02 2.424227e-02
2 2.076137e-01 1.834830e-01 2.413064e-02
3 2.972423e-01 2.731739e-01 2.406831e-02
4 3.847741e-01 3.607780e-01 2.399614e-02
5 4.696389e-01 4.457230e-01 2.391586e-02
6 5.513653e-01 5.275366e-01 2.382877e-02
7 6.296175e-01 6.058820e-01 2.373546e-02
8 7.041772e-01 6.805412e-01 2.363608e-02
9 7.749073e-01 7.513768e-01 2.353055e-02
10 8.417161e-01 8.182973e-01 2.341883e-02
11 9.045336e-01 8.812327e-01 2.330088e-02
12 9.633008e-01 9.401238e-01 2.317692e-02
13 1.017987e+00 9.949402e-01 2.304729e-02
14 1.068640e+00 1.045728e+00 2.291227e-02
15 1.115401e+00 1.092629e+00 2.277193e-02
16 1.158248e+00 1.135621e+00 2.262685e-02
17 1.197029e+00 1.174551e+00 2.247813e-02
18 1.231647e+00 1.209320e+00 2.232687e-02
19 1.262079e+00 1.239905e+00 2.217403e-02
20 1.288349e+00 1.266328e+00 2.202050e-02
21 1.310346e+00 1.288478e+00 2.186757e-02
22 1.327978e+00 1.306261e+00 2.171696e-02
23 1.341279e+00 1.319708e+00 2.157081e-02
24 1.350442e+00 1.329012e+00 2.143026e-02
25 1.355635e+00 1.334340e+00 2.129520e-02
26 1.356826e+00 1.335659e+00 2.116613e-02
27 1.353983e+00 1.332939e+00 2.104396e-02
28 1.347162e+00 1.326232e+00 2.092923e-02
29 1.336598e+00 1.315775e+00 2.082272e-02
30 1.322556e+00 1.301831e+00 2.072498e-02
31 1.305323e+00 1.284686e+00 2.063642e-02
32 1.285208e+00 1.264651e+00 2.055730e-02
33 1.262543e+00 1.242055e+00 2.048789e-02
34 1.237677e+00 1.217249e+00 2.042835e-02
35 1.210981e+00 1.190603e+00 2.037867e-02
36 1.182848e+00 1.162509e+00 2.033876e-02
37 1.153690e+00 1.133382e+00 2.030855e-02
38 1.123933e+00 1.103646e+00 2.028749e-02
39 1.093976e+00 1.073701e+00 2.027513e-02
40 1.064208e+00 1.043937e+00 2.027085e-02
41 1.034998e+00 1.014724e+00 2.027396e-02
42 1.006755e+00 9.864711e-01 2.028372e-02
43 9.802035e-01 9.599048e-01 2.029876e-02
44 9.556511e-01 9.353325e-01 2.031860e-02
45 9.331283e-01 9.127862e-01 2.034210e-02
46 9.124883e-01 8.921207e-01 2.036756e-02
47 8.937772e-01 8.733830e-01 2.039421e-02
48 8.770574e-01 8.566357e-01 2.042167e-02
49 8.624349e-01 8.419850e-01 2.044995e-02
50 8.499600e-01 8.294816e-01 2.047846e-02
51 8.396342e-01 8.191276e-01 2.050660e-02
52 8.314484e-01 8.109145e-01 2.053393e-02
53 8.253859e-01 8.048263e-01 2.055966e-02
54 8.214029e-01 8.008195e-01 2.058341e-02
55 8.193629e-01 7.987579e-01 2.060505e-02
56 8.190528e-01 7.984285e-01 2.062432e-02
57 8.202817e-01 7.996407e-01 2.064107e-02
58 8.228485e-01 8.021934e-01 2.065507e-02
59 8.265389e-01 8.058728e-01 2.066616e-02
60 8.311296e-01 8.104552e-01 2.067449e-02
61 8.364705e-01 8.157903e-01 2.068018e-02
62 8.424056e-01 8.217222e-01 2.068346e-02
63 8.487082e-01 8.280234e-01 2.068476e-02
64 8.551973e-01 8.345130e-01 2.068425e-02
65 8.617056e-01 8.410235e-01 2.068207e-02
66 8.680784e-01 8.474001e-01 2.067837e-02
67 8.741289e-01 8.534554e-01 2.067346e-02
68 8.797757e-01 8.591081e-01 2.066754e-02
69 8.849570e-01 8.642963e-01 2.066077e-02
70 8.896123e-01 8.689590e-01 2.065328e-02
71 8.937141e-01 8.730689e-01 2.064517e-02
72 8.971863e-01 8.765497e-01 2.063652e-02
73 9.000067e-01 8.793792e-01 2.062748e-02
74 9.021725e-01 8.815542e-01 2.061827e-02
75 9.036854e-01 8.830765e-01 2.060895e-02
76 9.045631e-01 8.839635e-01 2.059958e-02
77 9.048179e-01 8.842277e-01 2.059017e-02
78 9.044773e-01 8.838964e-01 2.058082e-02
79 9.036095e-01 8.830378e-01 2.057177e-02
80 9.022974e-01 8.817342e-01 2.056317e-02
81 9.006296e-01 8.800744e-01 2.055512e-02
82 8.986944e-01 8.781468e-01 2.054762e-02
83 8.966087e-01 8.760680e-01 2.054067e-02
84 8.944483e-01 8.739140e-01 2.053421e-02
85 8.922850e-01 8.717568e-01 2.052820e-02
86 8.901944e-01 8.696717e-01 2.052263e-02
87 8.882186e-01 8.677012e-01 2.051743e-02
88 8.863879e-01 8.658753e-01 2.051256e-02
89 8.847146e-01 8.642067e-01 2.050795e-02
90 8.832061e-01 8.627025e-01 2.050357e-02
91 8.818656e-01 8.613662e-01 2.049937e-02
92 8.806947e-01 8.601994e-01 2.049531e-02
93 8.797132e-01 8.592219e-01 2.049134e-02
94 8.789287e-01 8.584413e-01 2.048745e-02
95 8.783528e-01 8.578693e-01 2.048357e-02
96 8.779758e-01 8.574962e-01 2.047965e-02
97 8.777789e-01 8.573033e-01 2.047561e-02
98 8.777364e-01 8.572650e-01 2.047140e-02
99 8.778176e-01 8.573506e-01 2.046696e-02
100 8.779882e-01 8.575260e-01 2.046223e-02
101 8.782101e-01 8.577530e-01 2.045716e-02
102 8.784450e-01 8.579932e-01 2.045176e-02
103 8.786581e-01 8.582121e-01 2.044603e-02
104 8.788171e-01 8.583771e-01 2.043998e-02
105 8.788917e-01 8.584581e-01 2.043362e-02
106 8.788567e-01 8.584298e-01 2.042698e-02
107 8.786909e-01 8.582708e-01 2.042008e-02
108 8.783779e-01 8.579649e-01 2.041295e-02
109 8.779071e-01 8.575015e-01 2.040562e-02
110 8.772739e-01 8.568758e-01 2.039815e-02
111 8.764796e-01 8.560891e-01 2.039055e-02
112 8.755292e-01 8.551463e-01 2.038288e-02
113 8.744325e-01 8.540574e-01 2.037513e-02
114 8.732013e-01 8.528340e-01 2.036731e-02
115 8.718456e-01 8.514862e-01 2.035944e-02
116 8.703746e-01 8.500231e-01 2.035150e-02
117 8.687945e-01 8.484511e-01 2.034347e-02
118 8.671127e-01 8.467774e-01 2.033533e-02
119 8.653234e-01 8.449963e-01 2.032707e-02
120 8.634210e-01 8.431023e-01 2.031865e-02
121 8.613931e-01 8.410831e-01 2.031006e-02
122 8.592247e-01 8.389234e-01 2.030132e-02
123 8.568955e-01 8.366031e-01 2.029235e-02
124 8.543800e-01 8.340969e-01 2.028312e-02
125 8.516496e-01 8.313760e-01 2.027361e-02
126 8.486736e-01 8.284098e-01 2.026381e-02
127 8.454181e-01 8.251644e-01 2.025368e-02
128 8.418469e-01 8.216037e-01 2.024320e-02
129 8.379225e-01 8.176902e-01 2.023237e-02
130 8.336069e-01 8.133857e-01 2.022116e-02
131 8.288618e-01 8.086522e-01 2.020959e-02
132 8.236505e-01 8.034529e-01 2.019765e-02
133 8.179389e-01 7.977536e-01 2.018535e-02
134 8.116982e-01 7.915255e-01 2.017271e-02
135 8.049446e-01 7.847848e-01 2.015979e-02
136 7.976617e-01 7.775151e-01 2.014657e-02
137 7.898230e-01 7.696899e-01 2.013310e-02
138 7.813961e-01 7.612767e-01 2.011942e-02
139 7.723626e-01 7.522569e-01 2.010568e-02
140 7.626980e-01 7.426061e-01 2.009185e-02
141 7.523881e-01 7.323102e-01 2.007791e-02
142 7.414056e-01 7.213418e-01 2.006380e-02
143 7.297141e-01 7.096645e-01 2.004957e-02
144 7.173258e-01 6.972906e-01 2.003526e-02
145 7.042359e-01 6.842152e-01 2.002073e-02
146 6.904340e-01 6.704281e-01 2.000591e-02
147 6.758914e-01 6.559007e-01 1.999077e-02
148 6.605692e-01 6.405938e-01 1.997540e-02
149 6.444797e-01 6.245196e-01 1.996006e-02
150 6.276355e-01 6.076907e-01 1.994479e-02
151 6.100383e-01 5.901088e-01 1.992957e-02
152 5.916904e-01 5.717761e-01 1.991430e-02
153 5.726049e-01 5.527059e-01 1.989900e-02
154 5.527482e-01 5.328648e-01 1.988342e-02
155 5.320855e-01 5.122180e-01 1.986748e-02
156 5.105494e-01 4.906984e-01 1.985097e-02
157 4.880589e-01 4.682251e-01 1.983380e-02
158 4.645259e-01 4.447099e-01 1.981596e-02
159 4.398751e-01 4.200776e-01 1.979754e-02
160 4.140425e-01 3.942639e-01 1.977862e-02
161 3.870133e-01 3.672539e-01 1.975938e-02
162 3.587748e-01 3.390347e-01 1.974010e-02
163 3.293460e-01 3.096251e-01 1.972096e-02
164 2.989061e-01 2.792039e-01 1.970216e-02
165 2.673589e-01 2.476751e-01 1.968381e-02
166 2.348044e-01 2.151383e-01 1.966608e-02
167 2.013810e-01 1.817317e-01 1.964931e-02
168 1.672220e-01 1.475892e-01 1.963279e-02
169 1.324530e-01 1.128369e-01 1.961603e-02
170 9.701842e-02 7.741995e-02 1.959846e-02
171 6.080324e-02 4.122345e-02 1.957979e-02
172 2.373178e-02 4.171748e-03 1.956004e-02
173 -1.414933e-02 -3.368888e-02 1.953955e-02
174 -5.267861e-02 -7.219690e-02 1.951829e-02
175 -9.160101e-02 -1.110974e-01 1.949634e-02
176 -1.307484e-01 -1.502220e-01 1.947364e-02
177 -1.698678e-01 -1.893177e-01 1.944997e-02
178 -2.086923e-01 -2.281177e-01 1.942538e-02
179 -2.468419e-01 -2.662417e-01 1.939982e-02
180 -2.839967e-01 -3.033700e-01 1.937331e-02
181 -3.196997e-01 -3.390456e-01 1.934587e-02
182 -3.537264e-01 -3.730440e-01 1.931759e-02
183 -3.856854e-01 -4.049743e-01 1.928892e-02
184 -4.149734e-01 -4.342337e-01 1.926032e-02
185 -4.414262e-01 -4.606586e-01 1.923235e-02
186 -4.645710e-01 -4.837767e-01 1.920575e-02
187 -4.838398e-01 -5.030211e-01 1.918135e-02
188 -4.987021e-01 -5.178615e-01 1.915945e-02
189 -5.086137e-01 -5.277535e-01 1.913981e-02
190 -5.134619e-01 -5.325838e-01 1.912188e-02
191 -5.134327e-01 -5.325380e-01 1.910523e-02
192 -5.087751e-01 -5.278648e-01 1.908964e-02
193 -4.997517e-01 -5.188264e-01 1.907476e-02
194 -4.867196e-01 -5.057798e-01 1.906021e-02
195 -4.701948e-01 -4.892405e-01 1.904565e-02
196 -4.508890e-01 -4.699199e-01 1.903087e-02
197 -4.292990e-01 -4.483142e-01 1.901529e-02
198 -4.061143e-01 -4.251126e-01 1.899833e-02
199 -3.821513e-01 -4.011310e-01 1.897967e-02
200 -3.580104e-01 -3.769699e-01 1.895941e-02
201 -3.342228e-01 -3.531605e-01 1.893774e-02
202 -3.111634e-01 -3.300785e-01 1.891513e-02
203 -2.891047e-01 -3.079964e-01 1.889174e-02
204 -2.682119e-01 -2.870800e-01 1.886805e-02
205 -2.484845e-01 -2.673293e-01 1.884479e-02
206 -2.297499e-01 -2.485722e-01 1.882233e-02
207 -2.117813e-01 -2.305819e-01 1.880065e-02
208 -1.942839e-01 -2.130640e-01 1.878011e-02
209 -1.769052e-01 -1.956660e-01 1.876079e-02
210 -1.592547e-01 -1.779973e-01 1.874262e-02
211 -1.409978e-01 -1.597231e-01 1.872531e-02
212 -1.219860e-01 -1.406946e-01 1.870862e-02
213 -1.019910e-01 -1.206833e-01 1.869222e-02
214 -8.098799e-02 -9.966356e-02 1.867556e-02
215 -5.916530e-02 -7.782360e-02 1.865830e-02
216 -3.670403e-02 -5.534433e-02 1.864030e-02
217 -1.397394e-02 -3.259529e-02 1.862135e-02
218 8.659750e-03 -9.941811e-03 1.860156e-02
219 3.074546e-02 1.216421e-02 1.858126e-02
220 5.222533e-02 3.366454e-02 1.856079e-02
221 7.290984e-02 5.436994e-02 1.853990e-02
222 9.252566e-02 7.400700e-02 1.851866e-02
223 1.109089e-01 9.241133e-02 1.849760e-02
224 1.279831e-01 1.095066e-01 1.847655e-02
225 1.436714e-01 1.252155e-01 1.845591e-02
226 1.580003e-01 1.395646e-01 1.843568e-02
227 1.709029e-01 1.524873e-01 1.841557e-02
228 1.823349e-01 1.639390e-01 1.839585e-02
229 1.924433e-01 1.740666e-01 1.837676e-02
230 2.011366e-01 1.827785e-01 1.835812e-02
231 2.085520e-01 1.902125e-01 1.833956e-02
232 2.146854e-01 1.963642e-01 1.832115e-02
233 2.197815e-01 2.014784e-01 1.830305e-02
