# x y Cp Cf
0.000000e+00 0.000000e+00 -1.256360e+00 5.517467e-16
1.454538e-03 6.835397e-03 -2.052222e+00 5.695247e-03
2.858480e-02 2.911241e-02 1.030288e-01 6.119240e-03
1.573693e-01 5.548731e-02 3.188058e-01 2.515745e-03
4.373721e-01 5.089424e-02 2.774077e-01 1.276929e-03
7.539573e-01 1.938796e-02 5.727880e-02 3.644625e-04
9.400153e-01 2.602854e-03 -4.780385e-02 2.844381e-04
9.936182e-01 9.279287e-05 -8.202801e-02 2.492000e-04
1.000000e+00 -0.000000e+00 -9.102999e-02 4.869498e-15
9.936182e-01 -9.279287e-05 -8.202801e-02 2.492000e-04
9.400153e-01 -2.602854e-03 -4.780385e-02 2.844381e-04
7.539573e-01 -1.938796e-02 5.727880e-02 3.644625e-04
4.373721e-01 -5.089424e-02 2.774077e-01 1.276929e-03
1.573693e-01 -5.548731e-02 3.188058e-01 2.515745e-03
2.858480e-02 -2.911241e-02 1.030288e-01 6.119240e-03
1.454538e-03 -6.835397e-03 -2.052222e+00 5.695247e-03
1.454538e-03 -6.835397e-03 -2.052222e+00 -5.695247e-03
   
