# x y Cp Cf
9.521861e-01 1.863994e-03 -1.272580e-01 1.793785e-03
9.575163e-01 1.565405e-03 -1.295327e-01 1.789564e-03
9.623778e-01 1.307767e-03 -1.314832e-01 1.786702e-03
9.667971e-01 1.086663e-03 -1.331334e-01 1.785105e-03
9.708011e-01 8.979530e-04 -1.345073e-01 1.784679e-03
9.744164e-01 7.377838e-04 -1.356287e-01 1.785328e-03
9.776696e-01 6.026062e-04 -1.365210e-01 1.786959e-03
9.805867e-01 4.891766e-04 -1.372073e-01 1.789478e-03
9.831931e-01 3.945550e-04 -1.377093e-01 1.792801e-03
9.855134e-01 3.160980e-04 -1.380480e-01 1.796851e-03
9.875714e-01 2.514464e-04 -1.382425e-01 1.801561e-03
9.893898e-01 1.985114e-04 -1.383106e-01 1.806884e-03
9.909902e-01 1.554565e-04 -1.382679e-01 1.812793e-03
9.923933e-01 1.206796e-04 -1.381284e-01 1.819295e-03
9.936182e-01 9.279287e-05 -1.379039e-01 1.826446e-03
9.946830e-01 7.060286e-05 -1.376040e-01 1.834362e-03
9.956045e-01 5.309088e-05 -1.372359e-01 1.843218e-03
9.963984e-01 3.939365e-05 -1.368032e-01 1.853202e-03
9.970788e-01 2.878491e-05 -1.363052e-01 1.864409e-03
9.976588e-01 2.065819e-05 -1.357347e-01 1.876707e-03
9.981503e-01 1.451075e-05 -1.350785e-01 1.889692e-03
9.985639e-01 9.928864e-06 -1.343192e-01 1.902947e-03
9.989091e-01 6.574488e-06 -1.334437e-01 1.916872e-03
9.991944e-01 4.173309e-06 -1.324590e-01 1.934288e-03
9.994269e-01 2.504078e-06 -1.314148e-01 1.962760e-03
9.996131e-01 1.389193e-06 -1.304320e-01 2.016837e-03
9.997582e-01 6.863944e-07 -1.297159e-01 2.117840e-03
9.998665e-01 2.814513e-07 -1.295824e-01 2.287019e-03
9.999415e-01 8.167467e-08 -1.306209e-01 2.526409e-03
9.999855e-01 1.007987e-08 -1.350856e-01 2.786355e-03
1.000000e+00 -0.000000e+00 -1.150525e-01 2.726564e-17
9.999855e-01 -1.007987e-08 -1.350856e-01 2.786355e-03
9.999415e-01 -8.167467e-08 -1.306209e-01 2.526409e-03
9.998665e-01 -2.814513e-07 -1.295824e-01 2.287019e-03
9.997582e-01 -6.863944e-07 -1.297159e-01 2.117840e-03
9.996131e-01 -1.389193e-06 -1.304320e-01 2.016837e-03
9.994269e-01 -2.504078e-06 -1.314148e-01 1.962760e-03
9.991944e-01 -4.173309e-06 -1.324590e-01 1.934288e-03
9.989091e-01 -6.574488e-06 -1.334437e-01 1.916872e-03
9.985639e-01 -9.928864e-06 -1.343192e-01 1.902947e-03
9.981503e-01 -1.451075e-05 -1.350785e-01 1.889692e-03
9.976588e-01 -2.065819e-05 -1.357347e-01 1.876707e-03
9.970788e-01 -2.878491e-05 -1.363052e-01 1.864409e-03
9.963984e-01 -3.939365e-05 -1.368032e-01 1.853202e-03
9.956045e-01 -5.309088e-05 -1.372359e-01 1.843218e-03
9.946830e-01 -7.060286e-05 -1.376040e-01 1.834362e-03
9.936182e-01 -9.279287e-05 -1.379039e-01 1.826446e-03
9.923933e-01 -1.206796e-04 -1.381284e-01 1.819295e-03
9.909902e-01 -1.554565e-04 -1.382679e-01 1.812793e-03
9.893898e-01 -1.985114e-04 -1.383106e-01 1.806884e-03
9.875714e-01 -2.514464e-04 -1.382425e-01 1.801561e-03
9.855134e-01 -3.160980e-04 -1.380480e-01 1.796851e-03
9.831931e-01 -3.945550e-04 -1.377093e-01 1.792801e-03
9.805867e-01 -4.891766e-04 -1.372073e-01 1.789478e-03
9.776696e-01 -6.026062e-04 -1.365210e-01 1.786959e-03
9.744164e-01 -7.377838e-04 -1.356287e-01 1.785328e-03
9.708011e-01 -8.979530e-04 -1.345073e-01 1.784679e-03
9.667971e-01 -1.086663e-03 -1.331334e-01 1.785105e-03
9.623778e-01 -1.307767e-03 -1.314832e-01 1.786702e-03
9.575163e-01 -1.565405e-03 -1.295327e-01 1.789564e-03
9.521861e-01 -1.863994e-03 -1.272580e-01 1.793785e-03
9.463609e-01 -2.208189e-03 -1.246358e-01 1.799454e-03
9.400153e-01 -2.602854e-03 -1.216428e-01 1.806660e-03
9.331247e-01 -3.053007e-03 -1.182565e-01 1.815485e-03
9.256657e-01 -3.563760e-03 -1.144552e-01 1.826013e-03
9.176168e-01 -4.140252e-03 -1.102176e-01 1.838322e-03
9.089579e-01 -4.787562e-03 -1.055236e-01 1.852490e-03
8.996713e-01 -5.510619e-03 -1.003538e-01 1.868593e-03
8.897416e-01 -6.314099e-03 -9.469005e-02 1.886706e-03
8.791564e-01 -7.202313e-03 -8.851524e-02 1.906905e-03
8.679059e-01 -8.179092e-03 -8.181361e-02 1.929264e-03
8.559838e-01 -9.247665e-03 -7.457084e-02 1.953859e-03
8.433871e-01 -1.041054e-02 -6.677425e-02 1.980766e-03
8.301167e-01 -1.166937e-02 -5.841295e-02 2.010059e-03
8.161771e-01 -1.302485e-02 -4.947803e-02 2.041815e-03
8.015767e-01 -1.447663e-02 -3.996279e-02 2.076112e-03
7.863282e-01 -1.602314e-02 -2.986296e-02 2.113028e-03
7.704482e-01 -1.766162e-02 -1.917693e-02 2.152645e-03
7.539573e-01 -1.938796e-02 -7.905994e-03 2.195053e-03
7.368803e-01 -2.119673e-02 3.945195e-03 2.240375e-03
7.192459e-01 -2.308109e-02 1.636877e-02 2.288876e-03
7.010865e-01 -2.503288e-02 2.935283e-02 2.341112e-03
6.824382e-01 -2.704260e-02 4.289755e-02 2.396557e-03
6.633405e-01 -2.909949e-02 5.697752e-02 2.451355e-03
6.438360e-01 -3.119161e-02 7.155401e-02 2.510197e-03
6.239702e-01 -3.330600e-02 8.660746e-02 2.572916e-03
6.037910e-01 -3.542878e-02 1.021106e-01 2.638943e-03
5.833487e-01 -3.754531e-02 1.180306e-01 2.708061e-03
5.626951e-01 -3.964043e-02 1.343289e-01 2.780193e-03
5.418836e-01 -4.169860e-02 1.509622e-01 2.855301e-03
5.209685e-01 -4.370417e-02 1.678830e-01 2.933345e-03
5.000048e-01 -4.564153e-02 1.850400e-01 3.014266e-03
