# Iter  CD  CDp  CDf 
1 2.214822e-01 1.104157e-01 1.110666e-01
2 3.289193e-01 2.186652e-01 1.102540e-01
3 4.339470e-01 3.241427e-01 1.098043e-01
4 5.354143e-01 4.261184e-01 1.092959e-01
5 6.326244e-01 5.238865e-01 1.087379e-01
6 7.250171e-01 6.168794e-01 1.081377e-01
7 8.122057e-01 7.047065e-01 1.074992e-01
8 8.939469e-01 7.871234e-01 1.068235e-01
9 9.700873e-01 8.639754e-01 1.061120e-01
10 1.040529e+00 9.351619e-01 1.053674e-01
11 1.105230e+00 1.000637e+00 1.045930e-01
12 1.164245e+00 1.060454e+00 1.037912e-01
13 1.217644e+00 1.114680e+00 1.029639e-01
14 1.265312e+00 1.163196e+00 1.021164e-01
15 1.307118e+00 1.205863e+00 1.012552e-01
16 1.342977e+00 1.242590e+00 1.003875e-01
17 1.372841e+00 1.273320e+00 9.952124e-02
18 1.396728e+00 1.298063e+00 9.866450e-02
19 1.414695e+00 1.316870e+00 9.782498e-02
20 1.426862e+00 1.329853e+00 9.700931e-02
21 1.433417e+00 1.337191e+00 9.622517e-02
22 1.434679e+00 1.339198e+00 9.548100e-02
23 1.431069e+00 1.336288e+00 9.478131e-02
24 1.422987e+00 1.328859e+00 9.412791e-02
25 1.410771e+00 1.317248e+00 9.352340e-02
26 1.394703e+00 1.301732e+00 9.297041e-02
27 1.375098e+00 1.282626e+00 9.247158e-02
28 1.352382e+00 1.260353e+00 9.202872e-02
29 1.327011e+00 1.235368e+00 9.164284e-02
30 1.299502e+00 1.208188e+00 9.131404e-02
31 1.270374e+00 1.179333e+00 9.104147e-02
32 1.240131e+00 1.149308e+00 9.082327e-02
33 1.209310e+00 1.118654e+00 9.065669e-02
34 1.178445e+00 1.087906e+00 9.053895e-02
35 1.148064e+00 1.057598e+00 9.046602e-02
36 1.118662e+00 1.028228e+00 9.043380e-02
37 1.090665e+00 1.000227e+00 9.043856e-02
38 1.064499e+00 9.740231e-01 9.047626e-02
39 1.040544e+00 9.500025e-01 9.054165e-02
40 1.019092e+00 9.284636e-01 9.062854e-02
41 1.000439e+00 9.097086e-01 9.073004e-02
42 9.848108e-01 8.939697e-01 9.084109e-02
43 9.722838e-01 8.813266e-01 9.095724e-02
44 9.629054e-01 8.718357e-01 9.106974e-02
45 9.565017e-01 8.653303e-01 9.117141e-02
46 9.528761e-01 8.616148e-01 9.126128e-02
47 9.517835e-01 8.604456e-01 9.133792e-02
48 9.529270e-01 8.615251e-01 9.140192e-02
49 9.560402e-01 8.645889e-01 9.145138e-02
50 9.607924e-01 8.693079e-01 9.148447e-02
51 9.668454e-01 8.753440e-01 9.150134e-02
52 9.738624e-01 8.823606e-01 9.150178e-02
53 9.815047e-01 8.900198e-01 9.148492e-02
54 9.894284e-01 8.979783e-01 9.145008e-02
55 9.973171e-01 9.059183e-01 9.139884e-02
56 1.004899e+00 9.135662e-01 9.133318e-02
57 1.011941e+00 9.206857e-01 9.125529e-02
58 1.018256e+00 9.270887e-01 9.116695e-02
59 1.023696e+00 9.326261e-01 9.106957e-02
60 1.028137e+00 9.371722e-01 9.096463e-02
61 1.031489e+00 9.406351e-01 9.085404e-02
62 1.033715e+00 9.429754e-01 9.073951e-02
63 1.034856e+00 9.442342e-01 9.062206e-02
64 1.035001e+00 9.444980e-01 9.050277e-02
65 1.034256e+00 9.438736e-01 9.038259e-02
66 1.032751e+00 9.424883e-01 9.026231e-02
67 1.030620e+00 9.404767e-01 9.014284e-02
68 1.028010e+00 9.379852e-01 9.002486e-02
69 1.025071e+00 9.351621e-01 8.990880e-02
70 1.021941e+00 9.321457e-01 8.979519e-02
71 1.018753e+00 9.290681e-01 8.968440e-02
72 1.015636e+00 9.260587e-01 8.957686e-02
73 1.012707e+00 9.232343e-01 8.947245e-02
74 1.010059e+00 9.206879e-01 8.937098e-02
75 1.007755e+00 9.184832e-01 8.927203e-02
76 1.005830e+00 9.166545e-01 8.917526e-02
77 1.004293e+00 9.152122e-01 8.908070e-02
78 1.003149e+00 9.141608e-01 8.898823e-02
79 1.002393e+00 9.134950e-01 8.889764e-02
80 1.002014e+00 9.132055e-01 8.880850e-02
81 1.001996e+00 9.132756e-01 8.872015e-02
82 1.002310e+00 9.136784e-01 8.863173e-02
83 1.002917e+00 9.143751e-01 8.854231e-02
84 1.003766e+00 9.153149e-01 8.845090e-02
85 1.004793e+00 9.164366e-01 8.835663e-02
86 1.005926e+00 9.176676e-01 8.825874e-02
87 1.007089e+00 9.189326e-01 8.815683e-02
88 1.008214e+00 9.201637e-01 8.805077e-02
89 1.009245e+00 9.213047e-01 8.794055e-02
90 1.010136e+00 9.223098e-01 8.782622e-02
91 1.010851e+00 9.231427e-01 8.770791e-02
92 1.011359e+00 9.237731e-01 8.758579e-02
93 1.011639e+00 9.241783e-01 8.746021e-02
94 1.011676e+00 9.243445e-01 8.733168e-02
95 1.011470e+00 9.242690e-01 8.720081e-02
96 1.011031e+00 9.239623e-01 8.706832e-02
97 1.010385e+00 9.234501e-01 8.693496e-02
98 1.009575e+00 9.227733e-01 8.680149e-02
99 1.008655e+00 9.219867e-01 8.666854e-02
100 1.007691e+00 9.211548e-01 8.653656e-02
101 1.006752e+00 9.203465e-01 8.640575e-02
102 1.005904e+00 9.196279e-01 8.627605e-02
103 1.005203e+00 9.190558e-01 8.614713e-02
104 1.004690e+00 9.186713e-01 8.601848e-02
105 1.004386e+00 9.184964e-01 8.588945e-02
