# x y Cp Cf
6.438360e-01 -3.119161e-02 7.152434e-02 2.518035e-03
6.339453e-01 -3.224687e-02 7.899850e-02 2.548737e-03
6.239702e-01 -3.330600e-02 8.658954e-02 2.580152e-03
6.139167e-01 -3.436724e-02 9.429351e-02 2.612279e-03
6.037910e-01 -3.542878e-02 1.021062e-01 2.645118e-03
5.935996e-01 -3.648876e-02 1.100230e-01 2.678669e-03
5.833487e-01 -3.754531e-02 1.180393e-01 2.712929e-03
5.730450e-01 -3.859651e-02 1.261501e-01 2.747895e-03
5.626951e-01 -3.964043e-02 1.343501e-01 2.783563e-03
5.523057e-01 -4.067511e-02 1.426338e-01 2.819930e-03
5.418836e-01 -4.169860e-02 1.509954e-01 2.856990e-03
5.314355e-01 -4.270894e-02 1.594289e-01 2.894738e-03
5.209685e-01 -4.370417e-02 1.679280e-01 2.933168e-03
5.104893e-01 -4.468234e-02 1.764861e-01 2.972274e-03
5.000048e-01 -4.564153e-02 1.850966e-01 3.012048e-03
4.895220e-01 -4.657983e-02 1.937523e-01 3.052483e-03
4.790477e-01 -4.749539e-02 2.024460e-01 3.093570e-03
4.685888e-01 -4.838636e-02 2.111703e-01 3.135300e-03
4.581520e-01 -4.925097e-02 2.199173e-01 3.177665e-03
4.477442e-01 -5.008749e-02 2.286793e-01 3.220653e-03
4.373721e-01 -5.089424e-02 2.374480e-01 3.264256e-03
4.270423e-01 -5.166960e-02 2.462151e-01 3.308461e-03
4.167613e-01 -5.241204e-02 2.549721e-01 3.353257e-03
4.065355e-01 -5.312010e-02 2.637102e-01 3.398633e-03
3.963714e-01 -5.379237e-02 2.724207e-01 3.444576e-03
3.862751e-01 -5.442757e-02 2.810944e-01 3.491074e-03
3.762527e-01 -5.502447e-02 2.897220e-01 3.538113e-03
3.663102e-01 -5.558194e-02 2.982942e-01 3.585680e-03
3.564534e-01 -5.609897e-02 3.068015e-01 3.633761e-03
3.466878e-01 -5.657462e-02 3.152342e-01 3.682342e-03
3.370191e-01 -5.700805e-02 3.235824e-01 3.731408e-03
3.274524e-01 -5.739854e-02 3.318362e-01 3.780945e-03
3.179930e-01 -5.774547e-02 3.399857e-01 3.830937e-03
3.086456e-01 -5.804831e-02 3.480205e-01 3.881369e-03
2.994152e-01 -5.830665e-02 3.559304e-01 3.932226e-03
2.903062e-01 -5.852019e-02 3.637049e-01 3.983490e-03
2.813230e-01 -5.868873e-02 3.713337e-01 4.035147e-03
2.724696e-01 -5.881216e-02 3.788059e-01 4.087179e-03
2.637500e-01 -5.889050e-02 3.861109e-01 4.139569e-03
2.551679e-01 -5.892385e-02 3.932379e-01 4.192300e-03
2.467266e-01 -5.891244e-02 4.001758e-01 4.245354e-03
2.384296e-01 -5.885658e-02 4.069135e-01 4.298713e-03
2.302797e-01 -5.875666e-02 4.134399e-01 4.352357e-03
2.222797e-01 -5.861320e-02 4.197435e-01 4.406269e-03
2.144322e-01 -5.842679e-02 4.258128e-01 4.460426e-03
2.067394e-01 -5.819810e-02 4.316362e-01 4.514809e-03
