# Nver h  CD  CDp  CDf 
816    0.035007  7.132234e-02 6.801263e-02 3.309714e-03    
3168   0.017767  2.707882e-02 2.106588e-02 6.012941e-03   
12480  0.008951  1.024731e-02 3.850909e-03 6.396402e-03  
49536  0.004493  7.809751e-03 1.063682e-03 6.746069e-03  
197376 0.002251  7.882992e-03 1.233185e-03 6.649808e-03 
787968 0.001127  7.865495e-03 1.242640e-03 6.622855e-03 
