Title = "CFD++ Solutions for Joukowski Airfoil"
#                                                        =====
VARIABLES = "Nnode", "Ncell", "CL", "CD", "CLp" "CLv" "CDp", "CDv"
ZONE T = "CFD++, Classic grids, SA-QCR2000-R_Crot_1.0"
816          768 2.0139798e-05 4.4489611e-02 2.0135246e-05 3.7972629e-02 4.5530975e-09 6.5169822e-03
3168        3072 1.0862290e-06 1.5540285e-02 1.0890941e-06 8.4615464e-03 -2.8650691e-09 7.0787382e-03
12480      12288 9.1229208e-10 8.9321979e-03 -6.2657154e-09 2.1658846e-03 7.1779853e-09 6.7663134e-03
49536      49152 9.1851344e-08 8.0268072e-03 9.2735102e-08 1.3534592e-03 -8.8372212e-10 6.6733479e-03
197376    196608 8.9698608e-09 7.8997403e-03 9.0562872e-09 1.2575979e-03 -8.6371438e-11 6.6421423e-03
787968    786432 -1.5605889e-09 7.8800794e-03 -1.5558143e-09 1.2468229e-03 -4.7350137e-12 6.6332568e-03
3148800  3145728 1.1021287e-11 7.8765832e-03 1.1030058e-11 1.2457114e-03 -6.1626718e-14 6.6308718e-03
